fold,验证区间,交易日数,策略折收益,基准折收益,超额收益,折Sharpe,折最大回撤,平均暴露
1,2021-08-24 -> 2022-09-06,252,-7.07%,-17.10%,10.03%,-0.6552,-18.65%,30.31%
2,2022-09-07 -> 2023-09-19,252,11.78%,-8.19%,19.97%,1.0403,-7.59%,29.14%
3,2023-09-20 -> 2024-10-11,252,9.47%,4.48%,4.99%,0.7461,-10.69%,35.26%
4,2024-10-14 -> 2025-10-24,252,22.55%,19.90%,2.65%,1.7318,-9.17%,24.90%
