date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,unfilled_orders,stale_valuation_positions,fold,selected_params
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-25,-183908.04381,0.18315814720329102,0.0,183411.0,0.0,497.04381,0.0,497.04381,-918.0438099998282,999081.9561900002,182990.0,816091.9561900002,-918.0438099998282,-0.0009180438099998245,1,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-26,0.0,0.1819618953207186,-1461.0,0.0,0.0,0.0,0.0,0.0,-1461.0,997620.9561900002,181529.0,816091.9561900002,-2379.043809999828,-0.00237904380999987,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-27,-480.77092000000005,0.18394258251359266,1917.0,1064.0,588.0,2.88344,1.8874799999999998,4.770919999999999,1832.229079999961,999453.1852700001,183842.0,815611.1852700001,-546.8147299998673,-0.0005468147299998449,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-30,2965.45025,0.18529211527980635,5615.0,0.0,2975.0,0.0,9.54975,9.54975,5295.450249999994,1004748.6355200001,186172.0,818576.6355200001,4748.635520000127,0.004748635520000155,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-31,2042.42271,0.18399711759163195,990.0,0.0,2049.0,0.0,6.57729,6.57729,908.4227099999553,1005657.0582300001,185038.0,820619.0582300001,5657.058230000082,0.005657058230000178,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-01,1381.7050199999999,0.1821065042493745,-70.0,2668.0,4070.0,7.23028,13.0647,20.29498,-635.294980000006,1005021.7632500001,183021.0,822000.7632500001,5021.763250000076,0.005021763250000033,7,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-02,2413.22859,0.18726259975734896,9545.0,0.0,2421.0,0.0,7.7714099999999995,7.7714099999999995,9345.228589999955,1014366.99184,189953.0,824413.99184,14366.991840000032,0.01436699184000001,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-03,3133.90776,0.18248295249418478,-1615.0,0.0,3144.0,0.0,10.092239999999999,10.092239999999999,-2097.0922400000272,1012269.8996,184722.0,827547.8996,12269.899600000004,0.012269899599999912,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-06,-932.5203000000001,0.18192724668510943,-1755.0,930.0000000000001,0.0,2.5203,0.0,2.5203,-1827.5202999999747,1010442.3793,183827.0,826615.3793,10442.37930000003,0.010442379300000137,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-07,3650.2449799999995,0.18452755495623194,7988.0,0.0,3661.9999999999995,0.0,11.755019999999998,11.755019999999998,7698.2449799999595,1018140.62428,187875.0,830265.62428,18140.62427999999,0.018140624279999962,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-08,-223.24451000000022,0.18559611295519846,1513.0,3193.0,2988.0,8.65303,9.591479999999999,18.24451,1061.7554900000105,1019202.37977,189160.0,830042.37977,19202.37977,0.019202379770000055,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-09,-104.50749000000008,0.18718240099478314,1939.0,984.0,885.0,2.6666399999999997,2.8408499999999997,5.507489999999999,1860.492510000011,1021062.87228,191125.0,829937.87228,21062.87228000001,0.021062872279999922,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-10,0.0,0.1905255387152015,4217.0,0.0,0.0,0.0,0.0,0.0,4217.0,1025279.87228,195342.0,829937.87228,25279.87228000001,0.02527987228000006,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-13,0.0,0.18986970984446225,-830.0,0.0,0.0,0.0,0.0,0.0,-830.0,1024449.87228,194512.0,829937.87228,24449.87228000001,0.02444987227999995,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-14,653.65383,0.18974864005991884,973.0,1556.0,2221.0,4.21676,7.129409999999999,11.346169999999999,653.6538299999665,1025103.52611,194512.0,830591.52611,25103.526109999977,0.025103526109999885,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-15,1839.9390299999998,0.19051064908029214,3632.0,1875.0,3732.0,5.08125,11.979719999999999,17.060969999999998,3237.9390300000086,1028341.46514,195910.0,832431.46514,28341.465139999986,0.02834146514000002,7,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
