date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,unfilled_orders,stale_valuation_positions,fold,selected_params,strategy_daily_return,fold_start_asset,fold_end_asset,strategy_asset,strategy_profit_rate_continuous,benchmark_daily_return,benchmark_asset,benchmark_profit_rate_continuous,excess_asset,excess_profit_rate
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0,1000000.0,929280.7140099996,1000000.0,0.0,0.0,1000000.0,0.0,0.0,0.0
2021-08-25,-183908.04381,0.183158147203291,0.0,183411.0,0.0,497.04381,0.0,497.04381,-918.0438099998282,999081.9561900002,182990.0,816091.9561900002,-918.0438099998282,-0.0009180438099998,1,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0009180438099998245,1000000.0,929280.7140099996,999081.9561900002,-0.0009180438099998245,0.0019986130402851465,1001998.6130402852,0.0019986130402851465,-2916.656850285013,-0.002916656850284971
2021-08-26,0.0,0.1819618953207186,-1461.0,0.0,0.0,0.0,0.0,0.0,-1461.0,997620.9561900002,181529.0,816091.9561900002,-2379.043809999828,-0.0023790438099998,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0014623424944751884,1000000.0,929280.7140099996,997620.9561900002,-0.00237904380999987,-0.019711483495843396,982247.7339164836,-0.017752266083516433,15373.222273516585,0.015373222273516562
2021-08-27,-480.7709200000001,0.1839425825135926,1917.0,1064.0,588.0,2.88344,1.88748,4.770919999999999,1832.229079999961,999453.18527,183842.0,815611.1852700001,-546.8147299998673,-0.0005468147299998,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0018365984281216718,1000000.0,929280.7140099996,999453.1852699999,-0.000546814730000067,0.005296140252956771,987449.8556784543,-0.012550144321545775,12003.329591545626,0.012003329591545708
2021-08-30,2965.45025,0.1852921152798063,5615.0,0.0,2975.0,0.0,9.54975,9.54975,5295.450249999994,1004748.63552,186172.0,818576.6355200001,4748.635520000127,0.0047486355200001,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.005298347464438136,1000000.0,929280.7140099996,1004748.6355199999,0.004748635519999933,-0.0028526799032118078,984632.9773197309,-0.015367022680269127,20115.658200268983,0.02011565820026906
2021-08-31,2042.42271,0.1839971175916319,990.0,0.0,2049.0,0.0,6.57729,6.57729,908.4227099999551,1005657.05823,185038.0,820619.0582300001,5657.058230000082,0.0056570582300001,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0009041293293519104,1000000.0,929280.7140099996,1005657.05823,0.005657058229999956,-0.0015914336822993036,983065.9992349216,-0.01693400076507834,22591.058995078318,0.022591058995078295
2021-09-01,1381.70502,0.1821065042493745,-70.0,2668.0,4070.0,7.23028,13.0647,20.29498,-635.294980000006,1005021.76325,183021.0,822000.7632500001,5021.763250000076,0.00502176325,7,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.000631721295844323,1000000.0,929280.7140099996,1005021.7632499998,0.005021763249999811,0.013286554672559792,996127.559380491,-0.0038724406195089767,8894.203869508812,0.008894203869508788
2021-09-02,2413.22859,0.1872625997573489,9545.0,0.0,2421.0,0.0,7.771409999999999,7.771409999999999,9345.228589999955,1014366.99184,189953.0,824413.99184,14366.991840000032,0.01436699184,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.009298533555910149,1000000.0,929280.7140099996,1014366.99184,0.01436699184000001,-1.026807900672555e-05,996117.3310640106,-0.0038826689359894306,18249.66077598941,0.01824966077598944
2021-09-03,3133.90776,0.1824829524941847,-1615.0,0.0,3144.0,0.0,10.09224,10.09224,-2097.0922400000272,1012269.8996,184722.0,827547.8996,12269.899600000004,0.0122698995999999,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.002067390063822949,1000000.0,929280.7140099996,1012269.8995999999,0.012269899599999912,-0.005411333200531332,990727.0082787992,-0.009272991721200774,21542.891321200645,0.021542891321200686
2021-09-06,-932.5203,0.1819272466851094,-1755.0,930.0,0.0,2.5203,0.0,2.5203,-1827.520299999975,1010442.3793,183827.0,826615.3793,10442.37930000003,0.0104423793000001,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0018053686084334997,1000000.0,929280.7140099996,1010442.3792999999,0.010442379299999915,0.018721634668990017,1009275.0373844963,0.00927503738449631,1167.34191550361,0.0011673419155036058
