strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,benchmark_symbol,symbol,name,industry,missed_days,avg_benchmark_weight,max_benchmark_weight,avg_benchmark_rank,first_missing_date,last_missing_date,top_n_parameter
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.601398,工商银行,银行,162,0.011349759259259259,0.012851,14.25925925925926,2025-04-01,2026-03-30,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.600276,恒瑞医药,化学制药,202,0.011337594059405941,0.01299,13.94059405940594,2025-04-01,2026-03-30,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.688256,寒武纪,半导体,99,0.011155848484848485,0.013049999999999999,13.646464646464647,2025-09-01,2026-03-31,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SZ.002475,立讯精密,元器件,121,0.010698181818181817,0.012886,14.181818181818182,2025-04-01,2026-03-31,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SZ.300274,阳光电源,电气设备,46,0.010331391304347825,0.011686,18.065217391304348,2025-11-26,2026-01-30,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.601138,工业富联,通信设备,46,0.00993313043478261,0.012008000000000001,19.108695652173914,2025-11-26,2026-01-30,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SZ.000651,格力电器,家用电器,104,0.009866298076923076,0.01031,16.048076923076923,2025-04-01,2025-08-29,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.601328,交通银行,银行,24,0.009476,0.010342,17.916666666666668,2025-04-01,2025-08-29,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.688041,海光信息,半导体,36,0.009340444444444445,0.00957,17.333333333333332,2026-02-02,2026-03-31,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.601288,农业银行,银行,109,0.009334449541284404,0.01065,18.990825688073393,2025-05-06,2025-12-31,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.601211,国泰海通,证券,41,0.00920990243902439,0.009389999999999999,17.0,2025-04-01,2025-06-03,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.600887,伊利股份,乳制品,41,0.00910019512195122,0.00957,17.024390243902438,2025-04-01,2025-06-03,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.688981,中芯国际,半导体,96,0.009074822916666668,0.010093000000000001,18.833333333333332,2025-04-01,2026-03-31,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.603259,XD药明康,化学制药,56,0.008935642857142856,0.00943,19.196428571428573,2025-07-02,2026-03-31,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.601816,京沪高铁,铁路,20,0.0085619,0.008562,20.0,2025-06-03,2025-06-30,20
price_volume_low_turnover_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,SH.000300,SH.600919,江苏银行,银行,2,0.008531,0.008531,19.0,2025-07-30,2025-07-31,20
