candidate,score,selection_score,eligible_for_selection,governance_reason,fold_count,symbol_count,panel_scope,annualized_return_mean,sharpe_mean,max_drawdown_mean,win_rate_mean,turnover_annual_mean,price_adjustment_mode,strategy_version_filter
legacy_momentum_low_turnover_v1,-0.8515300481070583,-0.8515300481070583,True,eligible,4,1,portfolio,-0.07512389588338875,-0.7304120080968161,-0.167112184137096,0.44920318725099606,2.205557552836356,qfq_asof,latest_only
multifactor_volume_price_filter_v1,-2.0736432669047344,-2.0736432669047344,True,eligible,4,1,portfolio,-0.18525354778542252,-1.878492470380285,-0.2050480452634762,0.3775074690567648,41.32644253518603,qfq_asof,latest_only
quality_growth_price_v1,-2.4858944234045834,-2.4858944234045834,True,eligible,4,1,portfolio,-0.19946225433787815,-2.2612227109811887,-0.2498811705089111,0.40629960801953474,25.845473084324183,qfq_asof,latest_only
legacy_momentum,-2.8334507789196612,-2.8334507789196612,True,eligible,4,1,portfolio,-0.2913425798142012,-2.5194409268176026,-0.33667712438991604,0.40139442231075695,15.63717817454421,qfq_asof,latest_only
residual_momentum_reversal_v2,-4.698735244043106,-4.698735244043106,True,eligible,4,1,portfolio,-0.44873554085688705,-4.238132500600013,-0.47246994602929715,0.34057212524353675,72.1783021113248,qfq_asof,latest_only
ma_kline_baseline_v1,-4.934100683766697,-4.934100683766697,True,eligible,4,1,portfolio,-0.49792748396171327,-4.429855516368108,-0.5105628508354652,0.3312056319348103,46.04445813038728,qfq_asof,latest_only
