case,folds,avg_core_abs_weight,min_core_abs_weight,avg_core_coverage_ratio,min_core_coverage_ratio,avg_top20_abs_weight,min_top20_abs_weight,avg_top20_coverage_ratio,min_top20_coverage_ratio,statuses
I40 panel120,5,0.5537631556146146,0.5200619999999999,0.9247688811187411,,0.3269373160982106,0.29889,0.9954393982413288,,core_reachability_below_threshold:5
I43 panel200,5,0.5772483089426617,0.551967,0.9639980137072237,,0.3273205770151887,0.29889,0.9966069622405375,,core_reachability_below_threshold:5
I43 panel300,5,0.5855196542200721,0.564996,0.9778271298247179,,0.3282350898782592,0.30732,0.9995309395838593,,core_reachability_below_threshold:5
I44 seeded,5,0.5944780994443364,0.572539,0.9927955708738256,0.9575559818503236,0.3282350898782592,0.30732,0.9995309395838593,0.9532779322373686,pass:5
