strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,date,benchmark_symbol,benchmark_weight_date,industry,strategy_industry_weight_raw,strategy_industry_weight_normalized,benchmark_industry_weight,raw_active_weight,normalized_active_weight
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,家居用品,0.0,,0.0005600000000000001,-0.0005600000000000001,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,家用电器,0.0,,0.03942,-0.03942,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,小金属,0.0,,0.01112,-0.01112,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,工程机械,0.0,,0.01295,-0.01295,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,广告包装,0.0,,0.0034799999999999996,-0.0034799999999999996,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,建筑工程,0.0,,0.01836,-0.01836,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,影视音像,0.0,,0.00101,-0.00101,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,新型电力,0.0,,0.0082,-0.0082,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,旅游服务,0.0,,0.0028799999999999997,-0.0028799999999999997,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,普钢,0.0,,0.00509,-0.00509,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,服饰,0.0,,0.00047,-0.00047,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,机场,0.0,,0.00319,-0.00319,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,水力发电,0.0,,0.02071,-0.02071,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,水泥,0.0,,0.0028599999999999997,-0.0028599999999999997,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,水运,0.0,,0.00635,-0.00635,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,汽车整车,0.0,,0.03268,-0.03268,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,汽车配件,0.0,,0.01663,-0.01663,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,港口,0.0,,0.00079,-0.00079,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,火力发电,0.0,,0.00551,-0.00551,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,煤炭开采,0.0,,0.0137,-0.0137,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,特种钢,0.0,,0.00061,-0.00061,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,玻璃,0.0,,0.0021799999999999996,-0.0021799999999999996,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,生物制药,0.0,,0.007729999999999999,-0.007729999999999999,
