fold,recovery_days,positive_forward_20d_ratio,avg_forward_20d_return,tradable_days,avg_breadth20,avg_breadth60,avg_industry_breadth,avg_amount_ratio,avg_leader_mom20,avg_breadth20_delta_5d,avg_breadth20_delta_10d,avg_breadth20_delta_20d,avg_industry_breadth_delta_20d,avg_amount_delta_20d,avg_leader_mom20_delta_20d,avg_leader_persistence_20d
2,56,0.125,-0.026566069233771084,28,0.6369107865818392,0.6743756296759268,0.6401918976545842,1.0590149543347263,0.21942443843669615,0.009174611466631843,0.026796208884494112,0.04659507293092018,0.021321961620469086,0.038349139081884455,-0.0025075543691348286,0.0
3,22,0.0,-0.023788300934250533,6,0.6589411450692135,0.5820271722308735,0.6610962566844919,0.9876270520386943,0.3279265654943278,-0.10181830732550055,-0.149147457787896,0.10829301840258018,0.09742647058823531,-0.26075424792852325,0.0867469141423128,0.18181818181818182
4,49,0.32653061224489793,-0.012705762267582634,8,0.5156992781386418,0.723572998154655,0.557416996649406,0.9896703751004243,0.20714626257113944,0.05924570844615595,0.08813318480336119,0.1255862569547092,0.07555970149253732,0.037575602766421135,0.03565791201103967,0.02040816326530612
5,46,0.9782608695652174,0.04992008178332094,36,0.7592491528404794,0.8158840418154792,0.7597608331280127,1.1757829892064753,0.3789167485183413,0.0018084192512827153,0.015106591931674252,0.08115087207778751,0.10036960628154276,0.03343881084024443,0.1177206156232571,0.8913043478260869
