strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,benchmark_return_bucket,benchmark_trend_bucket,universe_as_of_date,date,symbol,name,industry,target_weight,live_weight,selected,rank,score,low_vol_rank_component,ret,position_ret,held_days
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-23,SH.603501,豪威集团,半导体,0.05,0.0,1.0,5.0,0.42500000000000004,0.8333333333333334,-0.022623197320757127,-0.0,0
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-23,SH.688008,澜起科技,半导体,0.05,0.0,1.0,2.0,0.7750000000000001,0.33333333333333337,0.008141112618724522,0.0,0
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-23,SZ.000938,紫光股份,IT设备,0.05,0.0,1.0,6.0,0.3416666666666667,0.5,-0.03380374138496878,-0.0,0
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-23,SZ.002241,歌尔股份,元器件,0.05,0.0,1.0,4.0,0.5166666666666667,0.6666666666666667,-0.028173022196926634,-0.0,0
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-23,SZ.002475,立讯精密,元器件,0.05,0.0,1.0,1.0,0.8583333333333333,0.16666666666666663,0.07793273174733395,0.0,0
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-23,SZ.300433,蓝思科技,元器件,0.05,0.0,1.0,3.0,0.5333333333333333,0.0,-0.029046898638426466,-0.0,0
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-24,SH.603501,豪威集团,半导体,0.05,0.05,1.0,11.0,0.51625,0.65,0.03916083916083912,0.0019580419580419563,1
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-24,SH.688008,澜起科技,半导体,0.05,0.05,1.0,2.0,0.8337499999999999,0.15000000000000002,0.07560763201646736,0.0037803816008233682,1
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-24,SZ.000938,紫光股份,IT设备,0.05,0.05,1.0,13.0,0.46125,0.25,0.03600543478260865,0.0018002717391304324,1
strong_index_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,strong_up,mostly_above_trend,2025-03-31,2025-09-24,SZ.002241,歌尔股份,元器件,0.05,0.05,1.0,,0.0,0.0,0.019033674963396807,0.0009516837481698404,1
