fold,top_overweight_industry,days,tradable_days,avg_forward_20d_return,avg_benchmark_return_sum
2,白酒,56,28,-0.026566069233771084,-0.04154940108320859
3,白酒,21,6,-0.024943040256771208,0.004936836242685301
4,白酒,35,6,-0.005531110213486443,-0.0119082175421086
4,银行,13,2,-0.03433080903110389,-0.026592339092733102
5,银行,46,36,0.04992008178332094,0.1432208080137364
