account_id,account_name,brief_date,start_date,total_asset,stock_asset,cash_asset,daily_pnl,daily_return,target_exposure,estimated_trade_amount,estimated_volume,execution_price_mode,max_participation_rate,unfilled_orders,partial_fill_orders,block_reason_counts,confirmed
default,默认模拟账户,2026-06-30,2026-06-30,1000120.33824,69722.0,930398.33824,120.33823999995366,0.00012033823999995365,0.06971361078677388,69408.0,900.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-01,2026-06-30,1000582.8471699998,81455.0,919127.8471699998,462.50892999989446,0.000462453279186195,0.08140755183879414,75231.0,1300.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-02,2026-06-30,994934.9181299999,66310.0,928624.9181299999,-5647.929039999959,-0.005644639078087625,0.06664757542596954,54232.0,900.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-03,2026-06-30,992913.2441299999,100303.0,892610.2441299999,-2021.673999999999,-0.0020319660745245285,0.10101889625602331,49500.0,2300.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-06,2026-06-30,988530.7354499998,82746.0,905784.7354499998,-4382.508680000086,-0.0044137881188603565,0.08370604679512803,27644.0,1900.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-07,2026-06-30,988565.0073499999,75260.0,913305.0073499999,34.271900000050664,3.466953405798696e-05,0.07613055230606025,78230.0,2800.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-08,2026-06-30,983990.2703699998,110518.0,873472.2703699998,-4574.736980000045,-0.004627654171437172,0.11231615121401865,50509.0,4500.0,next_open,0.05,1,0,"{""低于最小成交金额"": 1}",1
default,默认模拟账户,2026-07-09,2026-06-30,986418.6275599997,29179.0,957239.6275599997,2428.3571899998933,0.0024678670746274586,0.029580747144016362,84048.0,5000.0,next_open,0.05,0,1,{},1
default,默认模拟账户,2026-07-10,2026-06-30,982536.6454199996,56150.0,926386.6454199996,-3881.9821400000947,-0.003935430689911592,0.05714799571266664,30762.0,2100.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-13,2026-06-30,978455.4442199996,25694.0,952761.4442199996,-4081.2012000000104,-0.004153739424401256,0.026259754751002094,26460.0,3600.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-14,2026-06-30,979514.9577899995,7816.0,971698.9577899995,1059.5135699999519,0.0010828429401244426,0.007979459566022973,19019.0,700.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-15,2026-06-30,978082.6092499995,18300.0,959782.6092499995,-1432.3485400000354,-0.0014623038970550564,0.01871007604769966,11882.0,200.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-16,2026-06-30,981096.3388099994,174384.0,806712.3388099994,3013.7295599998906,0.003081262800808655,0.17774401259260175,170252.0,3300.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-17,2026-06-30,975892.3863299994,53742.0,922150.3863299994,-5203.952479999978,-0.0053042216896986944,0.0550695965588024,122684.0,2500.0,next_open,0.05,0,0,{},1
default,默认模拟账户,2026-07-20,2026-06-30,972681.4282999994,49756.0,922925.4282999994,-3210.9580299999798,-0.0032902788001813446,0.0511534388879624,36299.0,600.0,next_open,0.05,0,0,{},1
