symbol,name,industry,missing_folds,missing_days,avg_rank,min_rank,avg_weight,total_missing_weight,in_pit_snapshot_folds,in_pit_filtered_folds,in_pit_selected_before_limit_folds,in_pit_universe_folds,missing_dates_present_in_valid_bfq,missing_dates_present_in_valid_adj,snapshot_bfq_rows,snapshot_basic_rows,valid_bfq_rows,valid_adj_factor_rows,db_daily_rows,db_daily_basic_rows,db_adj_factor_rows,classification
SH.600050,中国联通,电信运营,1,81,47.0,43.0,0.005098111111111092,0.41294699999999845,1,1,1,0,81,81,59,59,243,243,4710,2439,2534,beyond_walk_forward_limit
SH.600104,上汽集团,汽车整车,2,80,68.48780487804878,58.0,0.004176202626641623,0.3336959999999978,2,2,2,0,80,80,117,117,482,482,4900,2534,2534,beyond_walk_forward_limit
SH.601728,中国电信,电信运营,1,58,60.96551724137931,49.0,0.0042251379310344235,0.24505799999999656,1,1,1,0,58,58,59,59,243,243,2314,1162,1162,beyond_walk_forward_limit
SH.688041,海光信息,半导体,2,52,48.523809523809526,29.0,0.005420619047619003,0.24366799999999755,2,2,2,1,42,52,117,117,473,483,1822,916,926,"beyond_walk_forward_limit,universe_member_but_panel_missing"
SH.601211,国泰海通,证券,2,60,71.30172413793103,68.0,0.003997525862068965,0.23786499999999997,2,2,2,1,58,60,117,117,463,482,4862,2515,2534,"beyond_walk_forward_limit,universe_member_but_panel_missing"
SZ.002028,思源电气,电气设备,1,36,48.638888888888886,45.0,0.005074499999999999,0.18268199999999996,1,1,1,0,36,36,58,58,242,242,4900,2534,2534,beyond_walk_forward_limit
SZ.000425,徐工机械,工程机械,1,42,59.904761904761905,58.0,0.004327619047619048,0.18176000000000003,1,1,1,0,42,42,58,58,242,242,4834,2501,2534,beyond_walk_forward_limit
SH.600900,长江电力,水力发电,2,11,10.3,7.0,0.0133226,0.129274,2,2,2,2,0,11,118,118,475,486,4878,2517,2534,universe_member_but_panel_missing
SH.600745,*ST闻泰,半导体,1,19,60.10526315789474,60.0,0.004396947368421053,0.083542,1,0,0,0,19,19,59,59,243,243,4500,2272,2534,filtered_out_before_universe_selection
SH.601009,南京银行,银行,1,20,70.0,70.0,0.004027000000000001,0.08054000000000001,1,1,0,0,20,20,58,58,242,242,4896,2532,2534,ranked_out_or_balanced_out_of_pit_universe
SH.601818,光大银行,银行,1,20,72.05,72.0,0.003936300000000001,0.07872600000000002,1,1,1,0,20,20,59,59,241,241,4898,2533,2534,beyond_walk_forward_limit
SZ.002410,广联达,软件服务,1,18,73.0,73.0,0.003733,0.067194,1,1,1,0,18,18,59,59,241,241,4900,2534,2534,beyond_walk_forward_limit
SH.600030,中信证券,证券,1,6,15.0,15.0,0.010202000000000001,0.061212,1,1,1,1,0,6,59,59,237,243,4866,2517,2534,universe_member_but_panel_missing
SH.601088,中国神华,煤炭开采,1,10,36.0,36.0,0.005758,0.05758,1,1,1,1,0,10,58,58,232,242,4752,2460,2534,universe_member_but_panel_missing
SH.688981,中芯国际,半导体,1,6,21.0,21.0,0.009513333333333316,0.057079999999999895,1,1,1,1,0,6,58,58,236,242,2840,1425,1431,universe_member_but_panel_missing
SH.600150,中国船舶,船舶,1,10,59.0,59.0,0.004658999999999999,0.04658999999999999,1,1,1,1,0,10,58,58,231,241,4618,2393,2534,universe_member_but_panel_missing
SH.603019,中科曙光,IT设备,1,10,52.8,50.0,0.0046199,0.046199,1,1,1,1,0,10,58,58,232,242,4874,2521,2534,universe_member_but_panel_missing
SZ.002142,宁波银行,银行,1,6,29.166666666666668,29.0,0.0071358333333333334,0.042815,1,1,1,1,0,6,59,59,237,243,4888,2527,2534,universe_member_but_panel_missing
SH.688012,DR中微公,半导体,1,9,49.0,49.0,0.004705,0.042345,1,1,1,1,0,9,58,58,233,242,3312,1661,1670,universe_member_but_panel_missing
