strategy_id,walk_forward_preset,fold,symbol,name,industry,valid_start,valid_end,train_end,missing_days,avg_rank,min_rank,avg_weight,total_missing_weight,in_pit_snapshot,in_pit_filtered,in_pit_scored,in_pit_selected_before_limit,in_pit_universe,pit_universe_rank,pit_universe_score,pit_liquidity_rank,pit_size_rank,pit_walk_forward_limit,snapshot_window_start,snapshot_bfq_rows,snapshot_qfq_rows,snapshot_basic_rows,valid_bfq_rows,valid_qfq_rows,valid_adj_factor_rows,valid_basic_rows,missing_dates_present_in_valid_bfq,missing_dates_present_in_valid_qfq,missing_dates_present_in_valid_adj,db_stock_metadata,db_daily_rows,db_daily_min_date,db_daily_max_date,db_daily_basic_rows,db_adj_factor_rows,classification
strong_market_effective_participation_v1,baseline_2y_1y_5fold,2,SH.601816,京沪高铁,铁路,2022-04-01,2023-03-31,2022-03-31,243,47.78600823045267,33.0,0.005270991769547315,1.2808509999999975,True,True,True,True,False,359.0,0.8037969094922737,0.693598233995585,0.9690949227373068,200,2021-12-31,59,59,59,243,243,243,243,243,243,243,True,3088,2020-01-16,2026-06-24,1549,1549,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,2,SH.603288,海天味业,食品,2022-04-01,2023-03-31,2022-03-31,243,39.97530864197531,32.0,0.005741271604938255,1.3951289999999958,True,True,True,True,False,210.0,0.8826490066225166,0.8097130242825608,0.9920529801324504,200,2021-12-31,59,59,59,243,243,243,243,243,243,243,True,4900,2016-05-03,2026-06-24,2534,2534,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.600000,浦发银行,银行,2023-04-03,2024-03-29,2023-03-31,241,59.572614107883815,52.0,0.004564336099585062,1.100005,True,True,True,False,False,0.0,0.6912572855953372,0.4954204829308909,0.9850124895920067,200,2022-12-31,59,59,59,241,241,241,241,241,241,241,True,4900,2016-05-03,2026-06-24,2516,2534,ranked_out_or_balanced_out_of_pit_universe
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.600016,民生银行,银行,2023-04-03,2024-03-29,2023-03-31,241,44.50622406639004,34.0,0.005177385892116175,1.2477499999999981,True,True,True,False,False,0.0,0.7316402997502083,0.574104912572856,0.9679433805162365,200,2022-12-31,59,59,59,241,241,241,241,241,241,241,True,4900,2016-05-03,2026-06-24,2534,2534,ranked_out_or_balanced_out_of_pit_universe
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.600104,上汽集团,汽车整车,2023-04-03,2024-03-29,2023-03-31,41,70.97560975609755,70.0,0.003976097560975609,0.16302,True,True,True,True,False,370.0,0.8051623646960866,0.6902581182348043,0.97751873438801,200,2022-12-31,59,59,59,241,241,241,241,41,41,41,True,4900,2016-05-03,2026-06-24,2534,2534,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.600837,,,2023-04-03,2024-03-29,2023-03-31,241,48.34854771784232,39.0,0.005018311203319492,1.2094129999999974,True,True,True,True,False,366.0,0.8064945878434637,0.7194004995836802,0.9371357202331391,200,2022-12-31,59,59,59,241,241,241,241,241,241,241,False,4220,2016-05-03,2025-02-05,2189,2224,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.601169,北京银行,银行,2023-04-03,2024-03-29,2023-03-31,78,68.32051282051282,59.0,0.004151089743589744,0.323785,True,True,True,False,False,0.0,0.729225645295587,0.5803497085761865,0.9525395503746877,200,2022-12-31,59,59,59,241,241,241,241,78,78,78,True,4884,2016-05-03,2026-06-24,2526,2534,ranked_out_or_balanced_out_of_pit_universe
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.601211,国泰海通,证券,2023-04-03,2024-03-29,2023-03-31,58,71.60344827586206,68.0,0.0039620517241379305,0.22979899999999998,True,True,True,True,False,287.0,0.8401332223147377,0.7585345545378851,0.9625312239800167,200,2022-12-31,59,59,59,241,241,241,241,58,58,58,True,4862,2016-05-03,2026-06-24,2515,2534,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.601328,交通银行,银行,2023-04-03,2024-03-29,2023-03-31,241,20.219917012448132,14.0,0.008664792531120326,2.0882149999999986,True,True,True,True,False,234.0,0.8736053288925895,0.8001665278934221,0.9837635303913406,200,2022-12-31,59,59,59,241,241,241,241,241,241,241,True,4900,2016-05-03,2026-06-24,2534,2534,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,3,SH.601816,京沪高铁,铁路,2023-04-03,2024-03-29,2023-03-31,241,27.112033195020746,24.0,0.0069633568464730206,1.678168999999998,True,True,True,True,False,208.0,0.8838467943380517,0.8139050791007494,0.988759367194005,200,2022-12-31,59,59,59,241,241,241,241,241,241,241,True,3088,2020-01-16,2026-06-24,1549,1549,beyond_walk_forward_limit
