strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,benchmark_symbol,symbol,name,industry,missed_days,avg_benchmark_weight,max_benchmark_weight,avg_benchmark_rank,first_missing_date,last_missing_date,top_n_parameter
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.600519,贵州茅台,白酒,241,0.050858767634854765,0.059640000000000006,1.0,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.300750,宁德时代,电气设备,241,0.031123925311203317,0.036143999999999996,2.0,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.601318,中国平安,保险,241,0.026941742738589212,0.030428,3.0,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.600036,招商银行,银行,241,0.02348430705394191,0.025552000000000002,4.0,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.000333,美的集团,家用电器,241,0.017819091286307053,0.019015,5.356846473029045,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.600900,长江电力,水力发电,241,0.01722892531120332,0.0217,6.3153526970954355,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.601899,紫金矿业,铜,241,0.01447591286307054,0.016654,8.481327800829876,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.000858,五 粮 液,白酒,241,0.014255705394190871,0.016744000000000002,8.659751037344398,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.601166,兴业银行,银行,241,0.013796643153526971,0.014814,8.908713692946058,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.300059,东方财富,证券,177,0.012966581920903957,0.01713,11.31638418079096,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.002594,比亚迪,汽车整车,241,0.012680477178423235,0.01608,10.41908713692946,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.600030,中信证券,证券,241,0.011988136929460581,0.015064,11.908713692946058,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.601398,工商银行,银行,241,0.01109616182572614,0.012430000000000002,12.87136929460581,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.600276,恒瑞医药,化学制药,241,0.010676099585062241,0.011702999999999998,13.630705394190871,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.002475,立讯精密,元器件,201,0.010447447761194028,0.011619999999999998,14.72636815920398,2024-06-03,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.601328,交通银行,银行,241,0.010042829875518673,0.011611,15.377593360995851,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.000651,格力电器,家用电器,241,0.01003254356846473,0.010771999999999999,15.37344398340249,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.300760,迈瑞医疗,医疗保健,141,0.009417808510638299,0.010217,16.70921985815603,2024-04-01,2024-10-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.600887,伊利股份,乳制品,241,0.009119207468879668,0.00998,17.489626556016596,2024-04-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.688981,中芯国际,半导体,100,0.009080369999999999,0.010143,17.5,2024-11-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.601816,京沪高铁,铁路,19,0.00884784210526316,0.008877000000000001,19.105263157894736,2025-01-02,2025-02-05,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.600309,万华化学,化工原料,101,0.008773831683168316,0.009321000000000001,18.99009900990099,2024-04-01,2024-10-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SZ.000725,京东方Ａ,元器件,163,0.008460668711656441,0.009113,19.650306748466257,2024-04-01,2025-02-28,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mixed_or_unresolved_context,SH.000300,SH.601288,农业银行,银行,62,0.008432870967741935,0.008939,18.741935483870968,2024-08-01,2025-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.600519,贵州茅台,白酒,239,0.04020848117154811,0.04906,1.3807531380753137,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.300750,宁德时代,电气设备,230,0.03553067391304348,0.043244,1.617391304347826,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.601318,中国平安,保险,232,0.02715925,0.02996,3.0948275862068964,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.600036,招商银行,银行,242,0.022977347107438015,0.027519000000000002,4.528925619834711,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.300308,中际旭创,通信设备,152,0.018695184210526315,0.026909000000000002,8.072368421052632,2025-08-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.601899,紫金矿业,铜,216,0.018307143518518518,0.026024,6.472222222222222,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.000333,美的集团,家用电器,238,0.016172676470588235,0.01916,6.495798319327731,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.300502,新易盛,通信设备,132,0.015205189393939394,0.01736,7.583333333333333,2025-09-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.600900,长江电力,水力发电,241,0.0151210622406639,0.01832,8.070539419087137,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.601166,兴业银行,银行,238,0.014987226890756301,0.018734,8.352941176470589,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.300059,东方财富,证券,240,0.012919199999999999,0.01532,10.241666666666667,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.002594,比亚迪,汽车整车,239,0.01277781589958159,0.01664,12.652719665271967,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.600030,中信证券,证券,239,0.011897958158995815,0.0131,12.820083682008368,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.000858,五 粮 液,白酒,125,0.011542296,0.01261,13.88,2025-04-01,2025-09-30,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.600276,恒瑞医药,化学制药,239,0.011445380753138076,0.01299,14.00836820083682,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.688256,寒武纪,半导体,128,0.011221015625,0.013049999999999999,14.484375,2025-09-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.002475,立讯精密,元器件,153,0.011214150326797385,0.013300000000000001,13.57516339869281,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.601398,工商银行,银行,239,0.01118218410041841,0.012851,15.188284518828452,2025-04-01,2026-03-31,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SZ.300274,阳光电源,电气设备,63,0.010688412698412699,0.011686,17.015873015873016,2025-11-03,2026-01-30,20
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mixed_or_unresolved_context,SH.000300,SH.601138,工业富联,通信设备,77,0.01055038961038961,0.012008000000000001,17.77922077922078,2025-10-09,2026-01-30,20
