date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,unfilled_orders,stale_valuation_positions,fold,selected_params
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-25,-183218.7375,0.1830318662515067,0.0,182990.0,0.0,228.7375,0.0,228.7375,-228.73749999993015,999771.2625000001,182990.0,816781.2625000001,-228.73749999993015,-0.00022873749999996473,1,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-26,0.0,0.18183625553984525,-1461.0,0.0,0.0,0.0,0.0,0.0,-1461.0,998310.2625000001,181529.0,816781.2625000001,-1689.7374999999302,-0.0016897374999998993,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-27,-398.2710000000001,0.18380064641686167,1917.0,988.0000000000001,592.0,1.235,1.036,2.271,1914.7290000000503,1000224.9915000001,183842.0,816382.9915000001,224.99150000012014,0.0002249915000001046,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-30,2623.401,0.18574510441080944,5615.0,0.0,2628.0,0.0,4.599,4.599,5610.400999999954,1005835.3925000001,186829.0,819006.3925000001,5835.3925000000745,0.005835392500000092,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-31,2120.283,0.18447814159596784,1041.0,0.0,2124.0,0.0,3.717,3.717,1037.283000000054,1006872.6755000001,185746.0,821126.6755000001,6872.6755000001285,0.006872675500000147,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-01,2719.27575,0.18177277521402804,6.0,2315.0,5046.0,2.8937500000000003,8.8305,11.724250000000001,-5.724250000086613,1006866.95125,183021.0,823845.95125,6866.951250000042,0.006866951250000142,7,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-02,2608.42725,0.1868866795126281,9545.0,0.0,2613.0,0.0,4.57275,4.57275,9540.427250000066,1016407.3785000001,189953.0,826454.3785000001,16407.378500000108,0.01640737850000007,8,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-03,-11633.64975,0.19703879051092554,-1615.0,14323.0,2711.9999999999995,17.903750000000002,4.7459999999999996,22.64975,-1637.6497499999823,1014769.7287500001,199949.0,814820.7287500001,14769.728750000126,0.014769728750000155,7,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-06,0.0,0.19641636680454472,-786.0,0.0,0.0,0.0,0.0,0.0,-786.0,1013983.7287500001,199163.0,814820.7287500001,13983.728750000126,0.013983728750000202,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
