fold,annualized_return_i58,benchmark_annualized_return_i58,excess_annualized_return_i58,turnover_annual_i58,annualized_return_i61,benchmark_annualized_return_i61,excess_annualized_return_i61,turnover_annual_i61,ann_delta_i61_minus_i58,excess_delta_i61_minus_i58
1,-0.0465410022515532,-0.1796066750298938,0.1330656727783405,0.7064218203449854,-0.0465410022515532,-0.1796066750298938,0.1330656727783405,0.7064218203449854,0.0,0.0
2,-0.0089197811870068,-0.0545676666771905,0.0456478854901837,0.1626635281005812,-0.059767282301412,-0.0545676666771905,-0.0051996156242214,2.7552561206931734,-0.050848,-0.050848
3,-0.0127346004770244,-0.140926059535011,0.1281914590579865,0.1568464730290459,-0.0225124948643256,-0.140926059535011,0.1184135646706854,1.202489626556017,-0.009778,-0.009778
4,0.0210599322452424,0.0849701220645706,-0.0639101898193281,0.1742415225247185,-9.380981450368696e-05,0.0849701220645706,-0.0850639318790743,2.2655278295786605,-0.021154,-0.021154
5,0.036199701007108,0.1510625954421074,-0.1148628944349994,2.3214857408919687,0.0793480593062356,0.1510625954421074,-0.0717145361358717,2.34532672126022,0.043148,0.043148
