strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,days,available_days,asof_coverage_ratio,avg_live_exposure,avg_strategy_weight_in_benchmark,avg_strategy_weight_outside_benchmark,avg_benchmark_weight_held,avg_benchmark_weight_missed,avg_top_n_coverage_ratio,avg_top_n_weight_missed,avg_industry_l1_gap_raw,avg_industry_l1_gap_normalized,strategy_total_return,benchmark_total_return,excess_total_return,strategy_annualized_return,benchmark_annualized_return,primary_driver,plain_language_summary
strong_benchmark_participation_boost_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,243,243,1.0,0.21100718077788932,0.21093927228543655,6.790849245274106e-05,0.6558371893004115,0.3441628106995886,0.9826464326892066,0.005975744855967075,0.7889924858887775,0.3383797101551258,-0.04222596730304107,-0.1635699514297645,0.12134398412672343,-0.04375517598856715,-0.16908490344091587,low_participation,强沪深300阶段主要问题是仓位参与不足，策略没有充分吃到指数上涨。
strong_benchmark_participation_boost_v1,baseline_2y_1y_5fold,2,2022-04-01,2023-03-31,risk_context_pressure,243,243,1.0,0.14936861292924977,0.14936861292924977,0.0,0.637104547325103,0.3628954526748971,0.9956925017787546,0.0014481563786008227,0.8506308932435898,0.38179148581402156,-0.007695363371762687,-0.04065504665371433,0.032959683281951646,-0.007979236752761354,-0.04212862478714785,low_participation,强沪深300阶段主要问题是仓位参与不足，策略没有充分吃到指数上涨。
strong_benchmark_participation_boost_v1,baseline_2y_1y_5fold,3,2023-04-03,2024-03-29,absolute_loss_but_benchmark_weak_context,241,241,1.0,0.1493775933609917,0.1493775933609917,0.0,0.6230403443983402,0.3769596556016597,0.995850622406639,0.0013057676348547718,0.8506259626556059,0.37605473847863546,-0.011360089569186993,-0.12674867252704347,0.11538858295785648,-0.011875509101816895,-0.1321340201428518,low_participation,强沪深300阶段主要问题是仓位参与不足，策略没有充分吃到指数上涨。
strong_benchmark_participation_boost_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,relative_lag_in_strong_benchmark_context,241,241,1.0,0.14909085018618942,0.14909085018618942,0.0,0.630560580912863,0.3694394190871369,0.995850622406639,0.001320207468879668,0.850911992137462,0.3733605048611722,0.02105645450437743,0.0988924319006812,-0.07783597739630377,0.022028047678612106,0.10363256323963133,low_participation,强沪深300阶段主要问题是仓位参与不足，策略没有充分吃到指数上涨。
strong_benchmark_participation_boost_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,242,242,1.0,0.3857490811342503,0.3857490811342503,0.0,0.6385171404958679,0.36148285950413217,0.9958677685950413,0.0013778512396694213,0.645522928159853,0.35186306009956964,0.04238766840804886,0.14476334534678603,-0.10237567693873717,0.044177368118698546,0.15117668279901686,low_participation,强沪深300阶段主要问题是仓位参与不足，策略没有充分吃到指数上涨。
