fold,annualized_return_i58,excess_annualized_return_i58,turnover_annual_i58,annualized_return_i61,excess_annualized_return_i61,turnover_annual_i61,annualized_return_i63,excess_annualized_return_i63,turnover_annual_i63,annualized_return_i63_minus_i58,annualized_return_i63_minus_i61,excess_annualized_return_i63_minus_i58,excess_annualized_return_i63_minus_i61,turnover_annual_i63_minus_i58,turnover_annual_i63_minus_i61
1,-0.0465410022515532,0.1330656727783405,0.7064218203449854,-0.0465410022515532,0.1330656727783405,0.7064218203449854,-0.0465410022515532,0.1330656727783405,0.7064218203449854,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0089197811870068,0.0456478854901837,0.1626635281005812,-0.059767282301412,-0.0051996156242214,2.7552561206931734,-0.0618421433340836,-0.007274476656893,2.4959968614339143,-0.052922,-0.002075,-0.052922,-0.002075,2.333333,-0.259259
3,-0.0127346004770244,0.1281914590579865,0.1568464730290459,-0.0225124948643256,0.1184135646706854,1.202489626556017,-0.01758203102844,0.123344028506571,0.6796680497925314,-0.004847,0.00493,-0.004847,0.00493,0.522822,-0.522822
4,0.0210599322452424,-0.0639101898193281,0.1742415225247185,-9.380981450368696e-05,-0.0850639318790743,2.2655278295786605,-0.0009800801455642,-0.0859502022101349,1.7427062528151749,-0.02204,-0.000886,-0.02204,-0.000886,1.568465,-0.522822
5,0.036199701007108,-0.1148628944349994,2.3214857408919687,0.0793480593062356,-0.0717145361358717,2.34532672126022,0.0793480593062356,-0.0717145361358717,2.34532672126022,0.043148,0.0,0.043148,0.0,0.023841,0.0
