date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params,strategy_daily_return,fold_start_asset,fold_end_asset,strategy_asset,strategy_profit_rate_continuous,benchmark_daily_return,benchmark_asset,benchmark_profit_rate_continuous,excess_asset,excess_profit_rate
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0,1000000.0,972398.7682129578,1000000.0,0.0,0.0,1000000.0,0.0,0.0,0.0
2021-08-25,-207889.95180321383,0.2073280926720725,-65.89523891655008,207328.09267207253,0.0,561.8591311413165,0.0,561.8591311413165,-627.7543700578666,999372.2456299422,207197.94155586188,792174.3040740803,-627.754370057839,-0.0006277543700577,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0006277543700577981,1000000.0,972398.7682129578,999372.2456299422,-0.0006277543700577981,0.0019986130402851465,1001998.6130402852,0.0019986130402851465,-2626.367410343024,-0.0026263674103429446
2021-08-26,0.0,0.2073280926720725,-1943.680597044034,0.0,0.0,0.0,0.0,0.0,-1943.680597044034,997428.565032898,206794.961964913,790633.603067985,-2571.434967101901,-0.0025714349671018,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0019449015174710649,1000000.0,972398.7682129578,997428.565032898,-0.002571434967101993,-0.019711483495843396,982247.7339164836,-0.017752266083516433,15180.831116414396,0.01518083111641444
2021-08-27,0.0,0.2073280926720725,3305.5780117092004,0.0,0.0,0.0,0.0,0.0,3305.5780117092004,1000734.1430446072,207480.3011492594,793253.8418953478,734.1430446072482,0.0007341430446072,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0033141000043448443,1000000.0,972398.7682129578,1000734.1430446072,0.0007341430446072827,0.005296140252956771,987449.8556784543,-0.012550144321545775,13284.287366152974,0.013284287366153058
2021-08-30,0.0,0.2073280926720725,5669.808317824373,0.0,0.0,0.0,0.0,0.0,5669.808317824373,1006403.9513624316,208655.8116936102,797748.1396688215,6403.951362431631,0.0064039513624316,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.005665648921075794,1000000.0,972398.7682129578,1006403.9513624316,0.006403951362431659,-0.0028526799032118078,984632.9773197309,-0.015367022680269127,21770.97404270072,0.021770974042700786
2021-08-31,0.0,0.2073280926720725,939.1102714118866,0.0,0.0,0.0,0.0,0.0,939.1102714118866,1007343.0616338436,208850.5156349908,798492.5459988528,7343.061633843579,0.0073430616338436,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0009331345233101196,1000000.0,972398.7682129578,1007343.0616338437,0.007343061633843684,-0.0015914336822993036,983065.9992349216,-0.01693400076507834,24277.062398922048,0.024277062398922022
2021-09-01,0.0,0.2073280926720725,-1456.3367420263498,0.0,0.0,0.0,0.0,0.0,-1456.3367420263498,1005886.7248918172,208548.5761159782,797338.148775839,5886.724891817197,0.0058867248918172,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0014457207256327598,1000000.0,972398.7682129578,1005886.7248918173,0.0058867248918172965,0.013286554672559792,996127.559380491,-0.0038724406195089767,9759.165511326282,0.009759165511326273
2021-09-02,0.0,0.2073280926720725,10240.919583171555,0.0,0.0,0.0,0.0,0.0,10240.919583171555,1016127.6444749888,210671.80644036524,805455.8380346235,16127.644474988803,0.0161276444749887,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.010180986914081203,1000000.0,972398.7682129578,1016127.6444749889,0.016127644474988934,-1.026807900672555e-05,996117.3310640106,-0.0038826689359894306,20010.3134109783,0.020010313410978364
2021-09-03,0.0,0.2073280926720725,-3106.432669555562,0.0,0.0,0.0,0.0,0.0,-3106.432669555562,1013021.2118054332,210027.7556799721,802993.456125461,13021.211805433151,0.0130212118054331,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0030571283897710133,1000000.0,972398.7682129578,1013021.2118054334,0.013021211805433364,-0.005411333200531332,990727.0082787992,-0.009272991721200774,22294.20352663414,0.022294203526634138
2021-09-06,0.0,0.2073280926720725,-323.3522946728175,0.0,0.0,0.0,0.0,0.0,-323.3522946728175,1012697.8595107604,209960.71566545643,802737.1438453039,12697.859510760403,0.0126978595107603,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0003191959762584018,1000000.0,972398.7682129578,1012697.8595107608,0.012697859510760745,0.018721634668990017,1009275.0373844963,0.00927503738449631,3422.822126264451,0.0034228221262644354
