market_regime,days,strategy_total_return,benchmark_total_return,excess_total_return,strategy_annualized_return,benchmark_annualized_return,strategy_sharpe,strategy_max_drawdown,benchmark_max_drawdown,average_exposure
回撤/下行,824,0.5582331877331788,-0.03944312576876696,0.5976763135019457,0.14528049846793945,-0.012231623566993921,1.2194102050446953,-0.09709878883535383,-0.28512286915901675,0.3123154765456251
震荡/中性,183,0.021375217078684283,-0.02192996077634024,0.043305177855024524,0.02955281789598252,-0.030073209522619493,0.32088587563368876,-0.0857186423998042,-0.1437940123529623,0.26755008610979375
顺风/上行,1,-0.002399388015402404,0.014823226718440496,-0.0172226147338429,-0.4541288566172108,39.77372942069697,0.0,0.0,0.0,0.1588348633693932
