date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-25,-183485.90290000002,0.18308079029484148,0.0,182990.0,0.0,495.90289999999993,0.0,495.90289999999993,-495.90289999987,999504.0971000001,182990.0,816514.0971000001,-495.90289999987,-0.0004959028999999004,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-26,0.0,0.1818849311492322,-1461.0,0.0,0.0,0.0,0.0,0.0,-1461.0,998043.0971000001,181529.0,816514.0971000001,-1956.90289999987,-0.001956902899999835,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-27,-400.5778,0.18385017778460294,1917.0,988.0000000000001,592.0,2.67748,1.9003199999999998,4.5778,1912.42220000003,999955.5193000002,183842.0,816113.5193000002,-44.48069999984,-4.448069999984927e-05,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-30,2619.56412,0.1857955894325083,5615.0,0.0,2628.0,0.0,8.43588,8.43588,5606.5641199999955,1005562.0834200002,186829.0,818733.0834200002,5562.0834200001555,0.005562083420000086,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-08-31,2117.18196,0.18452879907107447,1041.0,0.0,2124.0,0.0,6.81804,6.81804,1034.181959999958,1006596.2653800001,185746.0,820850.2653800001,6596.2653800001135,0.0065962653800000215,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-01,2708.52869,0.18182463136874,6.0,2315.0,5046.0,6.273649999999999,16.19766,22.47131,-16.47130999993533,1006579.7940700002,183021.0,823558.7940700002,6579.794070000178,0.006579794070000089,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-02,2604.61227,0.1869401958425227,9545.0,0.0,2613.0,0.0,8.38773,8.38773,9536.612270000041,1016116.4063400002,189953.0,826163.4063400002,16116.40634000022,0.01611640634000011,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-03,-11658.52085,0.19710013718703526,-1615.0,14323.0,2711.9999999999995,38.815329999999996,8.705519999999998,47.520849999999996,-1662.5208499999717,1014453.8854900002,199949.0,814504.8854900002,14453.885490000248,0.014453885490000262,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-06,0.0,0.196477567111368,-786.0,0.0,0.0,0.0,0.0,0.0,-786.0,1013667.8854900002,199163.0,814504.8854900002,13667.885490000248,0.013667885490000309,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-07,3927.3526,0.1993213991599935,8518.0,0.0,3940.0,0.0,12.6474,12.6474,8505.352599999984,1022173.2380900002,203741.0,818432.2380900002,22173.23809000023,0.022173238090000158,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-08,-1412.4231300000001,0.20155193918962022,1100.0,3026.0,1627.0,8.20046,5.22267,13.42313,1086.5768699999899,1023259.8149600002,206240.0,817019.8149600002,23259.81496000022,0.02325981496000029,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-09,1620.15825,0.2016664183846123,2187.0,947.0000000000001,2578.0,2.56637,8.275379999999998,10.841749999999998,2176.1582499999786,1025435.9732100002,206796.0,818639.9732100002,25435.9732100002,0.02543597321000024,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-10,0.0,0.2048510897436636,4107.0,0.0,0.0,0.0,0.0,0.0,4107.0,1029542.9732100002,210903.0,818639.9732100002,29542.9732100002,0.0295429732100001,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-13,0.0,0.20404318284169423,-1045.0,0.0,0.0,0.0,0.0,0.0,-1045.0,1028497.9732100002,209858.0,818639.9732100002,28497.9732100002,0.028497973210000138,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-14,-1528.13004,0.20674286110435275,1578.0,1524.0,0.0,4.130039999999999,0.0,4.130039999999999,1573.86996000004,1030071.8431700002,212960.0,817111.8431700002,30071.84317000024,0.030071843170000223,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-15,166.44110000000023,0.20921482544446118,3442.0,1855.9999999999998,2034.0,5.029759999999999,6.529139999999999,11.558899999999998,3430.4411000000546,1033502.2842700003,216224.0,817278.2842700003,33502.284270000295,0.03350228427000035,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-16,-790.25234,0.1999788293697582,-12911.0,1818.0,1036.0,4.92678,3.32556,8.25234,-12919.252340000006,1020583.0319300003,204095.0,816488.0319300003,20583.03193000029,0.020583031930000217,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2021-09-17,959.9087700000001,0.2029811979704075,5052.0,0.0,963.0000000000001,0.0,3.09123,3.09123,5048.90876999998,1025631.9407000003,208184.0,817447.9407000003,25631.94070000027,0.0256319407000003,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
