symbol,name,industry,latest_price,pct_change,amount,volume,turnover_rate,total_mv,circ_mv,pe_ttm,pb,roe,revenue_growth,profit_growth,cash_flow_quality,debt_to_asset,financial_report_date,financial_announce_date,source,as_of_date,expected_trade_date,staleness_days,latest_coverage,trading_days,liquidity_rank,size_rank,universe_score,universe_rank
SH.600519,贵州茅台,白酒,1485.0,,5594305926.672132,164641.57606557378,0.268,1585103470068.0,,19.1634,5.9169,10.57,6.3360092771,1.47,0.9877903474357742,12.1227489682,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9869928770517188,0.997522452771756,0.9912047073397336,16
SZ.002371,北方华创,半导体,698.19,,6005360010.405902,350077.06163934426,1.6654,454470050232.0,,81.5043,11.5658,4.25,25.7960902419,3.42,0.45759943590020147,50.009533175,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9900898110870239,0.9913285847011458,0.9905853205326727,17
SZ.002594,比亚迪,汽车整车,107.63,,5647163300.236557,1542513.416557377,0.9141,851910940474.0,,30.9239,3.6734,1.65,-11.8191365639,-55.38,0.683136285971212,70.9425655271,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9876122638587798,0.9947352121399814,0.9904614431712604,18
SH.688820,盛合晶微,半导体,229.0,,7199121198.466666,1707022.662,16.6031,356590845389.0,,361.8085,18.533,1.32,13.1349997272,51.55,3.031105776374267,33.7569803085,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,30,0.9922576649117374,0.9876122638587798,0.9903995044905544,19
SH.601869,长飞光纤,通信设备,455.89,,5897958785.032787,584984.6452459017,4.6928,377433659686.0,,326.1689,26.5202,3.53,27.7014158526,226.4,1.2476551138281973,49.2978265984,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9897801176834934,0.9891607308764323,0.9895323629606689,20
SH.600487,亨通光电,通信设备,97.87,,10673187785.737705,6950026.615737705,10.8534,241385810193.0,,74.7591,7.4482,3.44,34.086710357,98.53,-0.17520292465991608,51.8756268408,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.995664292350573,0.9789408485599257,0.9889749148343141,21
SZ.002463,沪电股份,元器件,140.82,,8104220538.555574,2321897.8554098364,5.7539,270988873280.00003,,62.9925,17.1212,7.81,53.9061409765,62.9,0.4114195724828066,48.6431188539,2026-03-31,2026-04-23,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9934964385258594,0.9814183957881697,0.9886652214307835,22
SZ.301308,江波龙,半导体,611.9,,7966802951.394918,473059.7649180328,8.5792,240501721259.0,,44.2314,20.2,39.4,132.7928324203,2644.05,-0.7442680966903814,65.5502357521,2026-03-31,2026-04-28,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9928770517187984,0.9786311551563952,0.9871786930938371,23
SH.688012,DR中微公,半导体,490.33,,6047125899.868853,653422.8850819672,2.4097,271150612707.99997,,99.3634,11.1887,4.0,34.1285376976,197.2,-0.1705838863248396,22.1756166551,2026-03-31,2026-04-28,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9903995044905544,0.9817280891917002,0.9869309383710126,24
SH.600183,生益科技,元器件,143.96,,5409700847.491803,2257316.493934426,3.5504,349696004350.99994,,89.0164,19.5058,6.68,45.0885351399,105.47,0.493521966355084,44.0311846029,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9863734902446578,0.9873025704552493,0.9867451223288944,25
SH.603993,洛阳钼业,小金属,21.73,,5039743265.852459,6295604.659836066,1.4331,400929372698.0,,16.5997,4.8452,9.06,44.3361681073,96.65,1.459940697810754,52.0303207841,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9845153298234748,0.9900898110870239,0.9867451223288943,26
