fold,days,strong_days,recovery_days,tradable_recovery_days,avg_live_exposure,avg_target_exposure,avg_benchmark_return,sum_benchmark_return,tradable_ratio_of_recovery
1,243,7,0,0,0.21100718077789324,0.21162446472851054,-0.0007246010674002757,-0.17535345831086674,
2,243,0,56,28,0.23331923021320428,0.23475955943131127,-0.0001053047734572789,-0.025589059950118773,0.5
3,241,0,22,6,0.16597510373443977,0.16742738589211614,-0.0005223242000078237,-0.12588013220188551,0.2727272727272727
4,241,0,49,8,0.19888338130652525,0.19951082283664348,0.00047876366928316925,0.11538204429724379,0.16326530612244897
5,242,61,46,36,0.4680275656917948,0.4696804582537783,0.0006062868030078071,0.14672140632788933,0.782608695652174
