fold,annualized_return_i63_quality,sharpe_i63_quality,max_drawdown_i63_quality,turnover_annual_i63_quality,benchmark_annualized_return_i63_quality,excess_annualized_return_i63_quality,is_positive_excess_fold_i63_quality,negative_fold_attribution_i63_quality,annualized_return_i67_tradable,sharpe_i67_tradable,max_drawdown_i67_tradable,turnover_annual_i67_tradable,benchmark_annualized_return_i67_tradable,excess_annualized_return_i67_tradable,is_positive_excess_fold_i67_tradable,negative_fold_attribution_i67_tradable,annualized_return_delta_i67_minus_i63,excess_annualized_return_delta_i67_minus_i63,max_drawdown_delta_i67_minus_i63,turnover_annual_delta_i67_minus_i63
1,-0.0465410022515532,-0.9445506011713328,-0.0703864179641018,0.7064218203449854,-0.1796066750298938,0.1330656727783405,True,negative_absolute_but_positive_excess: market_down_or_benchmark_weaker,-0.0465410022515532,-0.9445506011713328,-0.0703864179641018,0.7064218203449854,-0.1796066750298938,0.1330656727783405,True,negative_absolute_but_positive_excess: market_down_or_benchmark_weaker,0.0,0.0,0.0,0.0
2,-0.0618421433340836,-1.2785607354744846,-0.0779620056401504,2.4959968614339143,-0.0545676666771905,-0.007274476656893,False,negative_absolute_and_negative_excess: strategy_specific_underperformance,-0.0622569873214566,-1.2883709769318734,-0.0779620056401504,2.444145009582062,-0.0545676666771905,-0.007689320644266,False,negative_absolute_and_negative_excess: strategy_specific_underperformance,-0.00041484398737299394,-0.000414843987373,0.0,-0.05185185185185226
3,-0.01758203102844,-0.7027272018134346,-0.0375472002347589,0.6796680497925314,-0.140926059535011,0.123344028506571,True,negative_absolute_but_positive_excess: market_down_or_benchmark_weaker,-0.0166018853149229,-0.6888699431568662,-0.0360146324618219,0.5751037344398342,-0.140926059535011,0.1243241742200881,True,negative_absolute_but_positive_excess: market_down_or_benchmark_weaker,0.0009801457135170978,0.0009801457135170943,0.0015325677729370046,-0.10456431535269717
4,-0.0009800801455642,0.0024619493659292,-0.0496390420751048,1.7427062528151749,0.0849701220645706,-0.0859502022101349,False,negative_absolute_and_negative_excess: strategy_specific_underperformance,0.0127352772553026,0.3579873706178089,-0.0304909671845318,1.0107560453462954,0.0849701220645706,-0.072234844809268,False,positive_fold,0.013715357400866799,0.013715357400866893,0.019148074890573,-0.7319502074688795
5,0.0793480593062356,0.979856102544514,-0.0490244103788743,2.34532672126022,0.1510625954421074,-0.0717145361358717,False,positive_fold,0.0793480593062356,0.979856102544514,-0.0490244103788743,2.34532672126022,0.1510625954421074,-0.0717145361358717,False,positive_fold,0.0,0.0,0.0,0.0
