date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,trade_cost,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params,strategy_daily_return,fold_start_asset,fold_end_asset,strategy_asset,strategy_profit_rate_continuous,benchmark_daily_return,benchmark_asset,benchmark_profit_rate_continuous,excess_asset,excess_profit_rate
2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0,1000000.0,1193255.336663864,1000000.0,0.0,0.0,1000000.0,0.0,0.0,0.0
2018-08-22,-308938.94172186445,0.3085532501591655,-8643.103332150189,308553.25015916553,0.0,385.6915626989569,991356.89666785,305886.3925345691,685470.5041332808,-8643.103332150145,-0.0086431033321501,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.008643103332150015,1000000.0,1193255.336663864,991356.89666785,-0.008643103332150015,-0.005621270647648613,994378.7293523514,-0.005621270647648613,-3021.8326845014235,-0.003021832684501402
2018-08-23,0.0,0.3085532501591655,14455.969671396364,0.0,0.0,0.0,1005812.8663392462,310346.82896088075,695466.0373783654,5812.86633924616,0.0058128663392462,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.014582003433864843,1000000.0,1193255.336663864,1005812.8663392463,0.00581286633924627,0.003651808521894395,998010.0100701909,-0.001989989929809144,7802.856269055395,0.007802856269055414
2018-08-24,0.0,0.3085532501591655,6845.021526230004,0.0,0.0,0.0,1012657.8878654762,312458.88260020845,700199.0052652678,12657.887865476194,0.0126578878654761,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0068054622835986844,1000000.0,1193255.336663864,1012657.8878654764,0.012657887865476392,0.0015963711171282924,999603.2044248718,-0.00039679557512817265,13054.683440604596,0.013054683440604564
2018-08-27,0.0,0.3085532501591655,24493.45799945807,0.0,0.0,0.0,1037151.3458649344,320016.41867357824,717134.927191356,37151.345864934265,0.0371513458649341,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.024187297894935122,1000000.0,1193255.336663864,1037151.3458649344,0.037151345864934404,0.024430658009881867,1024024.168457758,0.02402416845775801,13127.17740717635,0.013127177407176394
2018-08-28,0.0,0.3085532501591655,-4156.000826678335,0.0,0.0,0.0,1032995.345038256,318734.07111084246,714261.2739274134,32995.34503825591,0.0329953450382558,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.004007130534273595,1000000.0,1193255.336663864,1032995.345038256,0.032995345038256074,-0.0018787225860616985,1022100.3111238034,0.022100311123803396,10895.033914452652,0.010895033914452679
2018-08-29,0.0,0.3085532501591655,-433.79583821293136,0.0,0.0,0.0,1032561.549200043,318600.2219950564,713961.3272049866,32561.54920004297,0.032561549200043,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.00041993978026788614,1000000.0,1193255.336663864,1032561.5492000431,0.03256154920004306,-0.0039998000099994435,1018012.1142891501,0.01801211428915006,14549.434910892975,0.014549434910893
2018-08-30,0.0,0.3085532501591655,-5295.853408300457,0.0,0.0,0.0,1027265.6957917424,316966.1692135588,710299.5265781838,27265.69579174253,0.0272656957917425,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.005128850103321647,1000000.0,1193255.336663864,1027265.6957917425,0.02726569579174254,-0.010476676991764577,1007346.7301940393,0.007346730194039308,19918.965597703238,0.01991896559770323
2018-08-31,0.0,0.3085532501591655,-4070.874203348712,0.0,0.0,0.0,1023194.8215883938,315710.0877471264,707484.7338412674,23194.821588393766,0.0231948215883937,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.003962825021827543,1000000.0,1193255.336663864,1023194.8215883939,0.02319482158839392,-0.004950628004619428,1002359.731261179,0.0023597312611789434,20835.090327214915,0.020835090327214978
2018-09-03,0.0,0.3085532501591655,6310.34848950043,0.0,0.0,0.0,1029505.1700778942,317657.16628319875,711848.0037946955,29505.170077894232,0.0295051700778943,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.006167299087483924,1000000.0,1193255.336663864,1029505.1700778943,0.029505170077894327,-0.0038026690658269358,998548.0889182815,-0.0014519110817184933,30957.081159612862,0.03095708115961282
