date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,trade_cost,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params
2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-22,-308938.94172186445,0.3085532501591655,-8643.103332150189,308553.25015916553,0.0,385.6915626989569,991356.8966678499,305886.3925345691,685470.5041332808,-8643.103332150145,-0.008643103332150126,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-23,0.0,0.3085532501591655,14455.969671396364,0.0,0.0,0.0,1005812.8663392462,310346.82896088075,695466.0373783654,5812.86633924616,0.00581286633924627,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-24,0.0,0.3085532501591655,6845.021526230004,0.0,0.0,0.0,1012657.8878654762,312458.88260020845,700199.0052652678,12657.887865476194,0.01265788786547617,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-27,0.0,0.3085532501591655,24493.45799945807,0.0,0.0,0.0,1037151.3458649343,320016.41867357824,717134.927191356,37151.345864934265,0.03715134586493418,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-28,0.0,0.3085532501591655,-4156.000826678335,0.0,0.0,0.0,1032995.3450382559,318734.07111084246,714261.2739274134,32995.34503825591,0.03299534503825585,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-29,0.0,0.3085532501591655,-433.79583821293136,0.0,0.0,0.0,1032561.549200043,318600.2219950564,713961.3272049866,32561.549200042966,0.03256154920004306,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-30,0.0,0.3085532501591655,-5295.853408300457,0.0,0.0,0.0,1027265.6957917425,316966.1692135588,710299.5265781838,27265.69579174253,0.02726569579174254,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-08-31,0.0,0.3085532501591655,-4070.8742033487115,0.0,0.0,0.0,1023194.8215883938,315710.0877471264,707484.7338412674,23194.821588393766,0.0231948215883937,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2018-09-03,0.0,0.3085532501591655,6310.34848950043,0.0,0.0,0.0,1029505.1700778942,317657.16628319875,711848.0037946955,29505.170077894232,0.029505170077894327,1,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
