symbol,fold,valid_start,valid_end,annualized_return,sharpe,max_drawdown,win_rate,turnover_annual,trades,passed_min_samples,selected_params,candidate,panel_scope,final_account_assets,min_cash_assets,unfilled_orders,stale_valuation_positions
PORTFOLIO_ACCOUNT_EXECUTION,1,2021-08-24,2022-09-06,-0.15389061644000024,-1.423028967090842,-0.2215169950449003,0.4541832669322709,0.0,514,True,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1_account_execution_v2,portfolio,846109.38356,293445.81305000023,790,0
PORTFOLIO_ACCOUNT_EXECUTION,2,2022-09-07,2023-09-19,0.11777970605000165,1.04027112599428,-0.07586121818015235,0.4900398406374502,0.0,375,True,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1_account_execution_v2,portfolio,1117779.706050001,546174.0199000012,947,0
PORTFOLIO_ACCOUNT_EXECUTION,3,2023-09-20,2024-10-11,0.08328497956999925,0.6607291899517921,-0.1065203585465826,0.49800796812749004,0.0,414,True,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1_account_execution_v2,portfolio,1083284.9795700002,305676.7190199999,920,0
PORTFOLIO_ACCOUNT_EXECUTION,4,2024-10-14,2025-10-24,0.22866954156999686,1.756317690198075,-0.0879647505792418,0.5179282868525896,0.0,239,True,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1_account_execution_v2,portfolio,1228669.5415699997,388330.8267599999,1076,9
