symbol,fold,train_start,train_end,valid_start,valid_end,annualized_return,sharpe,max_drawdown,win_rate,turnover_annual,trades,passed_min_samples,selected_params,candidate,strategy_id,strategy_display_name,strategy_category,panel_scope,supports_brief,supports_paper_trade,universe_mode,universe_as_of_date,universe_symbol_count,universe_snapshot_count,universe_source,candidate_summary,selected_candidate,selected_candidate_eligible,selected_candidate_governance_reason,is_selected_candidate,candidate_eligible_for_selection,candidate_governance_reason,price_adjustment_mode
PORTFOLIO,1,2019-07-31,2021-05-31,2021-06-01,2022-06-15,-0.053916573152249514,-0.49546425490800583,-0.14610486578437343,0.4900398406374502,0.9403863997060611,15,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2021-05-31,120,4300,local_history_sqlite_as_of,"legacy_momentum_low_turnover_v1: score=-0.5603, selection_score=-0.5603, eligible=True, ann=-0.0421, sharpe=-0.4586, mdd=-0.1614",legacy_momentum_low_turnover_v1,True,eligible,True,True,eligible,qfq_current
PORTFOLIO,2,2020-05-19,2022-06-15,2022-06-16,2023-06-28,-0.1710692767751958,-1.6980321625468728,-0.21066606372040286,0.4302788844621514,2.0927522782191383,51,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2022-06-15,120,4793,local_history_sqlite_as_of,"legacy_momentum_low_turnover_v1: score=-0.5603, selection_score=-0.5603, eligible=True, ann=-0.0421, sharpe=-0.4586, mdd=-0.1614",legacy_momentum_low_turnover_v1,True,eligible,True,True,eligible,qfq_current
PORTFOLIO,3,2021-06-01,2023-06-28,2023-06-29,2024-07-11,-0.03355619421045852,-0.28663917325070315,-0.1308642530221471,0.44621513944223107,3.4800180061970134,51,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2023-06-28,120,5158,local_history_sqlite_as_of,"legacy_momentum_low_turnover_v1: score=-0.5603, selection_score=-0.5603, eligible=True, ann=-0.0421, sharpe=-0.4586, mdd=-0.1614",legacy_momentum_low_turnover_v1,True,eligible,True,True,eligible,qfq_current
PORTFOLIO,4,2022-06-16,2024-07-11,2024-07-12,2025-07-25,0.09029162823296133,0.6455980412042269,-0.15776741158871166,0.47808764940239046,3.1963751193924645,26,True,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=10d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2024-07-11,120,5343,local_history_sqlite_as_of,"legacy_momentum_low_turnover_v1: score=-0.5603, selection_score=-0.5603, eligible=True, ann=-0.0421, sharpe=-0.4586, mdd=-0.1614",legacy_momentum_low_turnover_v1,True,eligible,True,True,eligible,qfq_current
