metric,qfq_current,qfq_asof,delta_asof_minus_current
annualized_return_mean,-0.042062603976235624,-0.07512389588338875,-0.03306129190715312
sharpe_mean,-0.4586343873753388,-0.7304120080968161,-0.27177762072147726
max_drawdown_mean,-0.16135064852890876,-0.167112184137096,-0.005761535608187235
win_rate_mean,0.4611553784860558,0.44920318725099606,-0.01195219123505975
turnover_annual_mean,2.4273829508786697,2.205557552836356,-0.22182539804231372
oos_annualized_return_mean,0.09029162823296133,-0.0073414571857095545,-0.09763308541867088
oos_sharpe_mean,0.6455980412042269,0.012938288989621937,-0.632659752214605
