scenario,slippage,commission,stamp_duty_sell,candidate,selected_candidate,eligible_for_selection,governance_reason,fold_count,panel_scope,annualized_return_mean,sharpe_mean,max_drawdown_mean,win_rate_mean,turnover_annual_mean
stress_slippage_0_005,0.005,0.00025,0.0005,quality_growth_price_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.23220457918356574,-2.7737194294074796,-0.2930339732154651,0.3937301832757138,24.79228539531689
stress_slippage_0_005,0.005,0.00025,0.0005,multifactor_volume_price_filter_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.3428865677127476,-3.631851007173625,-0.35891237940350584,0.3005321861939855,40.10625638721984
stress_slippage_0_005,0.005,0.00025,0.0005,residual_momentum_reversal_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.4447598883691387,-4.825440829813157,-0.4600060011341227,0.3373227188127342,29.591873217459533
stress_slippage_0_005,0.005,0.00025,0.0005,residual_momentum_reversal_v2,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.5877274477985084,-5.881886732429381,-0.6054650731715113,0.30472496755009204,63.86739252365249
stress_slippage_0_005,0.005,0.00025,0.0005,ma_kline_baseline_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.6586589863515833,-6.9984341782170105,-0.6673952435433395,0.27745824263489166,40.65309256704453
low_slippage,0.0003,0.00025,0.0005,legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,0.13419368978523213,1.0094000885448406,-0.1117821181948935,0.5049800796812749,1.6131733963699588
low_slippage,0.0003,0.00025,0.0005,legacy_momentum,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,0.13315086563499234,0.6816141962846898,-0.16242510105950705,0.4915059760956175,13.475825891070368
low_slippage,0.0003,0.00025,0.0005,multifactor_volume_price_filter_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-1.0475711270996335e-05,0.0005191556329370989,-0.13818981005930195,0.46763656488919914,48.41230840123026
low_slippage,0.0003,0.00025,0.0005,residual_momentum_reversal_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.005306392891598899,-0.06960419833749262,-0.13009736054491622,0.48135072078024527,30.169983989125225
low_slippage,0.0003,0.00025,0.0005,quality_growth_price_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,0.011003398599189335,-0.31167857128530896,-0.14333565191181405,0.47292684102300475,24.547474126481077
low_slippage,0.0003,0.00025,0.0005,residual_momentum_reversal_v2,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.08017308619698413,-0.5226956121840223,-0.19757525107316,0.4397581003963484,59.08127092061222
low_slippage,0.0003,0.00025,0.0005,ma_kline_baseline_v1,legacy_momentum_low_turnover_v1,True,eligible,4,portfolio,-0.1311665650914299,-0.902513414231761,-0.2609554359707257,0.43082629477792106,41.964290607779056
zero_cost,0.0,0.0,0.0,legacy_momentum,legacy_momentum,True,eligible,4,portfolio,0.20670585223244964,1.1229094304746678,-0.14306976619844955,0.5024741035856574,13.475825891070368
zero_cost,0.0,0.0,0.0,legacy_momentum_low_turnover_v1,legacy_momentum,True,eligible,4,portfolio,0.10962397732130194,0.8371087731273272,-0.12156024038138716,0.5029880478087649,1.7433213171277235
zero_cost,0.0,0.0,0.0,residual_momentum_reversal_v1,legacy_momentum,True,eligible,4,portfolio,0.09814828196393455,0.7379972911449116,-0.10717704562472599,0.5114345350964513,30.169983989125225
zero_cost,0.0,0.0,0.0,multifactor_volume_price_filter_v1,legacy_momentum,True,eligible,4,portfolio,0.10016628599733735,0.6542472390261391,-0.10775219384620094,0.49961464171937375,47.9268049435709
zero_cost,0.0,0.0,0.0,residual_momentum_reversal_v2,legacy_momentum,True,eligible,4,portfolio,0.06340846814956205,0.48900888489902483,-0.14779333439348566,0.46685794449011553,59.08127092061222
zero_cost,0.0,0.0,0.0,ma_kline_baseline_v1,legacy_momentum,True,eligible,4,portfolio,0.014186253083167344,0.1052766576678417,-0.19779755620995013,0.45911096383592753,41.964290607779056
zero_cost,0.0,0.0,0.0,quality_growth_price_v1,legacy_momentum,True,eligible,4,portfolio,0.021925715467219525,-0.16766384598783235,-0.12058092723103056,0.489458575007216,25.33668612766558
