fold,验证区间,交易日数,策略折收益,基准折收益,超额收益,折Sharpe,折最大回撤,平均暴露
1,2021-08-24 -> 2022-09-06,252,-0.81%,-17.10%,16.29%,-0.0201,-15.52%,31.04%
2,2022-09-07 -> 2023-09-19,252,17.88%,-8.19%,26.06%,1.5919,-5.52%,29.42%
3,2023-09-20 -> 2024-10-11,252,14.22%,4.48%,9.74%,1.1273,-9.25%,35.75%
4,2024-10-14 -> 2025-10-24,252,27.36%,19.90%,7.46%,2.1494,-6.95%,25.40%
