date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,trade_cost,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params,strategy_daily_return,fold_start_asset,fold_end_asset,strategy_asset,strategy_profit_rate_continuous,benchmark_daily_return,benchmark_asset,benchmark_profit_rate_continuous,excess_asset,excess_profit_rate
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0,1000000.0,991908.6335468844,1000000.0,0.0,0.0,1000000.0,0.0,0.0,0.0
2021-08-25,-207587.2527879126,0.2073280926720725,-65.89523891655008,207328.09267207253,0.0,259.16011584009067,999934.1047610836,207314.4307378718,792619.6740232117,-65.89523891650606,-6.58952389165357e-05,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-6.589523891642468e-05,1000000.0,991908.6335468844,999934.1047610836,-6.589523891642468e-05,0.0019986130402851465,1001998.6130402852,0.0019986130402851465,-2064.5082792015746,-0.002064508279201571
2021-08-26,0.0,0.2073280926720725,-1943.680597044034,0.0,0.0,0.0,997990.4241640394,206911.45114692292,791078.9730171165,-2009.575835960568,-0.0020095758359606,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0019438086847818337,1000000.0,991908.6335468844,997990.4241640394,-0.0020095758359606197,-0.019711483495843396,982247.7339164836,-0.017752266083516433,15742.690247555845,0.015742690247555813
2021-08-27,0.0,0.2073280926720725,3305.5780117092004,0.0,0.0,0.0,1001296.0021757486,207596.7903312693,793699.2118444792,1296.002175748581,0.0012960021757486,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0033122341975155845,1000000.0,991908.6335468844,1001296.0021757487,0.0012960021757486562,0.005296140252956771,987449.8556784543,-0.012550144321545775,13846.146497294423,0.013846146497294431
2021-08-30,0.0,0.2073280926720725,5669.808317824373,0.0,0.0,0.0,1006965.810493573,208772.30087562013,798193.5096179529,6965.810493572964,0.006965810493573,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.005662469744715182,1000000.0,991908.6335468844,1006965.8104935731,0.0069658104935730325,-0.0028526799032118078,984632.9773197309,-0.015367022680269127,22332.83317384217,0.02233283317384216
2021-08-31,0.0,0.2073280926720725,939.1102714118866,0.0,0.0,0.0,1007904.9207649848,208967.0048170007,798937.9159479842,7904.920764984912,0.0079049207649848,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0009326138599994316,1000000.0,991908.6335468844,1007904.9207649848,0.007904920764984835,-0.0015914336822993036,983065.9992349216,-0.01693400076507834,24838.921530063148,0.024838921530063174
2021-09-01,0.0,0.2073280926720725,-1456.3367420263498,0.0,0.0,0.0,1006448.5840229584,208665.06529798813,797783.5187249704,6448.58402295853,0.0064485840229584,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.001444914804980879,1000000.0,991908.6335468844,1006448.5840229584,0.006448584022958448,0.013286554672559792,996127.559380491,-0.0038724406195089767,10321.024642467382,0.010321024642467425
2021-09-02,0.0,0.2073280926720725,10240.919583171555,0.0,0.0,0.0,1016689.50360613,210788.29562237515,805901.207983755,16689.503606130136,0.01668950360613,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.010175303284979398,1000000.0,991908.6335468844,1016689.5036061301,0.016689503606130085,-1.026807900672555e-05,996117.3310640106,-0.0038826689359894306,20572.172542119515,0.020572172542119516
2021-09-03,0.0,0.2073280926720725,-3106.432669555562,0.0,0.0,0.0,1013583.0709365744,210144.244861982,803438.8260745925,13583.070936574484,0.0135830709365745,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.003055438910834929,1000000.0,991908.6335468844,1013583.0709365745,0.013583070936574515,-0.005411333200531332,990727.0082787992,-0.009272991721200774,22856.06265777524,0.02285606265777529
2021-09-06,0.0,0.2073280926720725,-323.3522946728175,0.0,0.0,0.0,1013259.7186419016,210077.20484746635,803182.5137944354,13259.718641901738,0.0132597186419016,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0003190190364702472,1000000.0,991908.6335468844,1013259.7186419016,0.013259718641901674,0.018721634668990017,1009275.0373844963,0.00927503738449631,3984.6812574053183,0.003984681257405365
2021-09-07,0.0,0.2073280926720725,8455.70100702887,0.0,0.0,0.0,1021715.4196489304,211830.3092094589,809885.1104394717,21715.419648930547,0.0217154196489306,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.008345048018253642,1000000.0,991908.6335468844,1021715.4196489304,0.021715419648930423,0.011978766572147359,1021364.9074644204,0.021364907464420435,350.5121845100075,0.0003505121845099879
2021-09-08,0.0,0.2073280926720725,1271.4442807682562,0.0,0.0,0.0,1022986.8639296988,212093.91532712945,810892.9486025694,22986.863929698826,0.0229868639296988,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0012444211532065541,1000000.0,991908.6335468844,1022986.8639296988,0.022986863929698842,-0.004145945285539465,1017130.384441503,0.017130384441502944,5856.479488195851,0.005856479488195898
2021-09-09,0.0,0.2073280926720725,2145.3314259051767,0.0,0.0,0.0,1025132.195355604,212538.70279981184,812593.4925557922,25132.195355604053,0.025132195355604,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0020971250966645982,1000000.0,991908.6335468844,1025132.195355604,0.02513219535560407,-0.00042637662329825243,1016696.7038227308,0.016696703822730807,8435.491532873246,0.008435491532873263
2021-09-10,0.0,0.2073280926720725,4109.057414798308,0.0,0.0,0.0,1029241.2527704024,213390.625836302,815850.6269341004,29241.252770402352,0.0292412527704024,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.004008319544946959,1000000.0,991908.6335468844,1029241.2527704022,0.029241252770402237,0.008754509548270617,1025597.3848240421,0.025597384824042058,3643.867946360144,0.0036438679463601797
2021-09-13,0.0,0.2073280926720725,-598.8893385800961,0.0,0.0,0.0,1028642.3634318224,213266.45925201252,815375.9041798097,28642.36343182228,0.0286423634318222,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.0005818745964252248,1000000.0,991908.6335468844,1028642.3634318223,0.02864236343182225,-0.00436020999218123,1021125.5648587773,0.021125564858777368,7516.798573044944,0.0075167985730448805
2021-09-14,0.0,0.2073280926720725,972.3973309324545,0.0,0.0,0.0,1029614.7607627548,213468.06453595415,816146.6962268006,29614.76076275471,0.0296147607627548,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0009453211004146755,1000000.0,991908.6335468844,1029614.7607627548,0.02961476076275482,-0.014924894724400284,1005885.3733028664,0.005885373302866315,23729.387459888472,0.023729387459888507
2021-09-15,0.0,0.2073280926720725,3785.3097182915535,0.0,0.0,0.0,1033400.0704810462,214252.86558002065,819147.2049010256,33400.07048104622,0.0334000704810462,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.003676433033542814,1000000.0,991908.6335468844,1033400.0704810462,0.03340007048104621,-0.010135932123420899,995689.7874351266,-0.004310212564873406,37710.28304591961,0.03771028304591961
2021-09-16,0.0,0.2073280926720725,-12739.142776656412,0.0,0.0,0.0,1020660.9277043898,211611.68340585925,809049.2442985305,20660.92770438979,0.0206609277043898,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.012327406529715423,1000000.0,991908.6335468844,1020660.9277043899,0.020660927704389875,-0.012249040539763167,983493.5428638055,-0.016506457136194475,37167.38484058436,0.03716738484058435
2021-09-17,0.0,0.2073280926720725,4282.810975860989,0.0,0.0,0.0,1024943.7386802508,212499.63043675956,812444.1082434913,24943.738680250823,0.0249437386802509,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.004196115340178386,1000000.0,991908.6335468844,1024943.738680251,0.024943738680250904,0.010033903945753542,993361.8226041698,-0.006638177395830169,31581.916076081106,0.031581916076081074
2021-09-22,0.0,0.2073280926720725,4398.454896208024,0.0,0.0,0.0,1029342.1935764588,213411.55370109447,815930.6398753644,29342.19357645884,0.0293421935764588,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.00429141106015396,1000000.0,991908.6335468844,1029342.1935764588,0.02934219357645884,-0.007036742628615533,986371.7911214118,-0.013628208878588177,42970.402455047006,0.04297040245504702
2021-09-23,0.0,0.2073280926720725,2280.611468462653,0.0,0.0,0.0,1031622.8050449216,213884.3885269769,817738.4165179445,31622.805044921464,0.0316228050449214,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",0.0022156008785947368,1000000.0,991908.6335468844,1031622.8050449215,0.03162280504492143,0.006518353218838646,992801.3108610397,-0.007198689138960379,38821.49418388179,0.03882149418388181
2021-09-24,-8567.465617842252,0.2154253930907203,-8104.583757757855,161445.15830901216,153347.8578903643,201.8064478862652,1023518.2212871636,220491.81515630212,803026.4061308615,23518.221287163677,0.0235182212871636,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.00785615024999875,1000000.0,991908.6335468844,1023518.2212871634,0.02351822128716341,-0.0007768070551388284,992030.0957984119,-0.007969904201588163,31488.125488751568,0.03148812548875157
