fold,universe_as_of_date,universe_symbol_count,universe_snapshot_count,universe_source,train_start,train_end,valid_start,valid_end,warning,price_adjustment_for_backtest,train_price_as_of_date,valid_price_as_of_date
1,2021-06-01,120,4301,local_history_sqlite_as_of,2019-05-08,2021-06-01,2021-06-02,2022-06-16,,qfq_current,,
2,2022-06-16,120,4788,local_history_sqlite_as_of,2020-05-20,2022-06-16,2022-06-17,2023-06-29,,qfq_current,,
3,2023-06-29,120,5159,local_history_sqlite_as_of,2021-06-02,2023-06-29,2023-06-30,2024-07-12,,qfq_current,,
4,2024-07-12,120,5343,local_history_sqlite_as_of,2022-06-17,2024-07-12,2024-07-15,2025-07-28,,qfq_current,,
