symbol,fold,train_start,train_end,valid_start,valid_end,annualized_return,sharpe,max_drawdown,win_rate,turnover_annual,trades,passed_min_samples,selected_params,candidate,candidate_summary
SH.603986,1,2021-07-29,2023-08-24,2023-08-25,2024-09-06,-0.2986989425618293,-1.0000547744170336,-0.3515458575990549,0.45454545454545453,51.0,51,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SH.603986,2,2022-08-12,2024-09-06,2024-09-09,2025-09-22,0.9982840329056899,1.7201326916750626,-0.2312068878364052,0.5133333333333333,48.0,48,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SZ.002384,1,2021-07-29,2023-08-24,2023-08-25,2024-09-06,-0.10515966288378287,-0.13300438743360252,-0.3097118944818279,0.43661971830985913,51.0,51,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SZ.002384,2,2022-08-12,2024-09-06,2024-09-09,2025-09-22,2.1438623366489056,2.2799708651675132,-0.24769977199138038,0.524390243902439,39.0,39,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SH.688256,1,2021-07-29,2023-08-24,2023-08-25,2024-09-06,-0.0407704198472254,0.21628949180512566,-0.3656976374136106,0.46153846153846156,46.0,46,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SH.688256,2,2022-08-12,2024-09-06,2024-09-09,2025-09-22,2.358720042546033,2.0655609096651535,-0.30898313836422664,0.527027027027027,48.0,48,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SZ.000988,1,2021-07-29,2023-08-24,2023-08-25,2024-09-06,-0.3696680959638563,-1.525625815897758,-0.4041364876928989,0.42016806722689076,51.0,51,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SZ.000988,2,2022-08-12,2024-09-06,2024-09-09,2025-09-22,0.9804864274102254,1.8716382928198076,-0.212040321617873,0.5506329113924051,45.0,45,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SZ.300274,1,2021-07-29,2023-08-24,2023-08-25,2024-09-06,0.5345840523341181,1.5913558775856247,-0.10503957184560508,0.5045871559633027,37.0,37,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
SZ.300274,2,2022-08-12,2024-09-06,2024-09-09,2025-09-22,0.6957141055234255,1.2720148578191532,-0.5003265610557712,0.47333333333333333,45.0,45,True,legacy_mom5_median,legacy_momentum,"legacy_momentum: score=0.3501, ann=0.3360, sharpe=0.3358, mdd=-0.3074; xmarket_single_v2: score=-0.0063, ann=0.0204, sharpe=0.0083, mdd=-0.0497; xmarket_portfolio_v2: score=-0.8181, ann=-0.0636, sharpe=-0.7310, mdd=-0.1106; xmarket_next_open_v1: score=-1.9034, ann=-0.1517, sharpe=-1.7316, mdd=-0.1918; xmarket_magnitude_soft_risk_v1: score=-0.4044, ann=-0.0037, sharpe=-0.3430, mdd=-0.1190; residual_momentum_reversal_v1: score=-0.6410, ann=-0.0670, sharpe=-0.5249, mdd=-0.1652"
