strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,date,live_holding_count,target_holding_count,live_exposure,target_exposure,live_top_industry,live_top_industry_share,live_top3_industries_share,target_top_industry,target_top_industry_share,target_top3_industries_share,unknown_live_weight,benchmark_close,benchmark_daily_return
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-09-23,0,16,0.0,0.64,,0.0,0.0,元器件,0.16,0.4,0.0,4519.78,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-09-24,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4566.07,0.010241648929815161
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-09-25,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4593.49,0.006005164178385369
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-09-26,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4550.05,-0.00945686177612226
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-09-29,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4620.05,0.015384446324765655
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-09-30,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4640.69,0.004467484118137133
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-10-09,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4709.48,0.014823226718440496
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-10-10,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4616.83,-0.019673084926573603
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-10-13,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4593.98,-0.004949283382754022
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-10-14,16,16,0.64,0.64,元器件,0.16,0.4,元器件,0.16,0.4,0.0,4539.06,-0.011954775597629808
