strategy_id,walk_forward_preset,fold,valid_start,valid_end,date,universe_rows,strong_index_context,review_day,review_reason,dynamic_review_trigger,strong_index_close,strong_index_ret20,strong_index_ret60,strong_index_drawdown,benchmark_member_count,benchmark_member_share,benchmark_weight_sum,hard_filter_benchmark_member_count,hard_filter_benchmark_weight_sum,eligible_benchmark_member_count,eligible_benchmark_weight_sum,panel_top20_benchmark_weight_sum,panel_top20_eligible_benchmark_member_count,panel_top20_eligible_benchmark_weight_sum,complete_required_count,complete_required_share,mom20_positive_count,mom20_positive_share,mom60_positive_count,mom60_positive_share,close_above_ma60_count,close_above_ma60_share,amount_ratio_min_count,amount_ratio_min_share,amount_ratio_max_count,amount_ratio_max_share,upper_shadow_count,upper_shadow_share,vol20_p80_count,vol20_p80_share,valid_industry_count,valid_industry_share,hard_base_count,hard_base_share,strong_index_context_count,strong_index_context_share,eligible_for_new_buy_count,eligible_for_new_buy_share
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-01,120,False,True,fixed_rebalance,False,5048.36,-0.07407088134903106,0.001074769876302284,-0.13075010503261186,107,0.8916666666666667,0.71947,3,0.014270000000000001,0,0.0,0.36738000000000004,0,0.0,120,1.0,40,0.3333333333333333,61,0.5083333333333333,32,0.26666666666666666,18,0.15,120,1.0,91,0.7583333333333333,114,0.95,120,1.0,4,0.03333333333333333,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-02,120,False,True,fixed_rebalance,False,5110.78,-0.03217938496906669,-0.0005729695270166868,-0.12000234171068858,107,0.8916666666666667,0.7218640000000001,5,0.079717,0,0.0,0.367798,0,0.0,120,1.0,44,0.36666666666666664,60,0.5,37,0.30833333333333335,26,0.21666666666666667,120,1.0,86,0.7166666666666667,114,0.95,120,1.0,7,0.058333333333333334,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-06,120,False,True,fixed_rebalance,False,5161.56,-0.019236908109751427,-0.009542742775780932,-0.11125880724277337,107,0.8916666666666667,0.7218640000000001,3,0.022309,0,0.0,0.367798,0,0.0,120,1.0,65,0.5416666666666666,54,0.45,38,0.31666666666666665,23,0.19166666666666668,120,1.0,84,0.7,114,0.95,120,1.0,5,0.041666666666666664,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-07,120,False,True,fixed_rebalance,False,5140.34,0.011873969000121942,-0.024181239701426827,-0.11491256465532085,107,0.8916666666666667,0.7218640000000001,5,0.022517000000000002,0,0.0,0.367798,0,0.0,120,1.0,75,0.625,46,0.38333333333333336,35,0.2916666666666667,38,0.31666666666666665,120,1.0,101,0.8416666666666667,114,0.95,120,1.0,6,0.05,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-08,120,False,True,fixed_rebalance,False,5103.74,0.02670287668477167,-0.04931908481124192,-0.12121452136122268,107,0.8916666666666667,0.7218640000000001,4,0.01638,0,0.0,0.367798,0,0.0,120,1.0,75,0.625,46,0.38333333333333336,32,0.26666666666666666,24,0.2,120,1.0,77,0.6416666666666667,114,0.95,120,1.0,4,0.03333333333333333,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-09,120,False,True,fixed_rebalance,False,5112.21,0.02170432947411971,-0.05638217167158577,-0.11975611771917383,107,0.8916666666666667,0.7218640000000001,0,0.0,0,0.0,0.367798,0,0.0,120,1.0,42,0.35,38,0.31666666666666665,28,0.23333333333333334,25,0.20833333333333334,120,1.0,90,0.75,114,0.95,120,1.0,0,0.0,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-12,120,False,True,fixed_rebalance,False,5035.34,-0.018111547476512335,-0.08675181277046462,-0.13299194864766206,107,0.8916666666666667,0.7218640000000001,4,0.018488,0,0.0,0.367798,0,0.0,120,1.0,32,0.26666666666666666,33,0.275,23,0.19166666666666668,49,0.4083333333333333,119,0.9916666666666667,98,0.8166666666666667,114,0.95,120,1.0,4,0.03333333333333333,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-13,120,False,True,fixed_rebalance,False,4947.75,-0.038596061697737105,-0.09966099104164738,-0.14807359858946367,107,0.8916666666666667,0.7218640000000001,1,0.0036409999999999997,0,0.0,0.367798,0,0.0,120,1.0,44,0.36666666666666664,32,0.26666666666666666,22,0.18333333333333332,23,0.19166666666666668,120,1.0,62,0.5166666666666667,114,0.95,120,1.0,2,0.016666666666666666,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-14,120,False,True,fixed_rebalance,False,4939.64,-0.019044630764525672,-0.0921715222489321,-0.14947001577211017,107,0.8916666666666667,0.7218640000000001,2,0.01242,0,0.0,0.367798,0,0.0,120,1.0,51,0.425,28,0.23333333333333334,28,0.23333333333333334,25,0.20833333333333334,120,1.0,86,0.7166666666666667,114,0.95,120,1.0,2,0.016666666666666666,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-15,120,False,True,fixed_rebalance,False,4980.63,-0.01943748818748814,-0.11002171057921684,-0.14241216863071915,107,0.8916666666666667,0.7218640000000001,2,0.004836999999999999,0,0.0,0.367798,0,0.0,120,1.0,45,0.375,22,0.18333333333333332,30,0.25,33,0.275,120,1.0,90,0.75,114,0.95,120,1.0,2,0.016666666666666666,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-16,120,False,True,fixed_rebalance,False,4948.97,-0.02977733166564056,-0.11276503817697114,-0.1478635333659336,107,0.8916666666666667,0.7218640000000001,3,0.007824999999999999,0,0.0,0.367798,0,0.0,120,1.0,44,0.36666666666666664,28,0.23333333333333334,24,0.2,28,0.23333333333333334,120,1.0,96,0.8,114,0.95,120,1.0,4,0.03333333333333333,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-19,120,False,True,fixed_rebalance,False,4966.18,-0.034149718871128054,-0.09218237588795086,-0.1449002362372842,107,0.8916666666666667,0.7218640000000001,14,0.073332,0,0.0,0.367798,0,0.0,120,1.0,77,0.6416666666666667,37,0.30833333333333335,44,0.36666666666666664,83,0.6916666666666667,120,1.0,111,0.925,114,0.95,120,1.0,15,0.125,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-20,120,False,True,fixed_rebalance,False,5087.02,0.01596336394991904,-0.0679836132852577,-0.12409344803124112,107,0.8916666666666667,0.7218640000000001,4,0.029074999999999997,0,0.0,0.367798,0,0.0,120,1.0,67,0.5583333333333333,36,0.3,40,0.3333333333333333,66,0.55,119,0.9916666666666667,63,0.525,114,0.95,120,1.0,6,0.05,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-21,120,False,True,fixed_rebalance,False,5083.37,0.005184738439635073,-0.0788526633952582,-0.12472192185573694,107,0.8916666666666667,0.7218640000000001,11,0.063493,0,0.0,0.367798,0,0.0,120,1.0,71,0.5916666666666667,43,0.35833333333333334,43,0.35833333333333334,43,0.35833333333333334,120,1.0,90,0.75,114,0.95,120,1.0,13,0.10833333333333334,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-22,120,False,True,fixed_rebalance,False,5098.75,0.017866946149623253,-0.0623022995777488,-0.12207372256238247,107,0.8916666666666667,0.7218640000000001,3,0.023391999999999996,0,0.0,0.367798,0,0.0,120,1.0,83,0.6916666666666667,38,0.31666666666666665,38,0.31666666666666665,48,0.4,120,1.0,78,0.65,114,0.95,120,1.0,5,0.041666666666666664,0,0.0,0,0.0
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,2021-04-23,120,False,True,fixed_rebalance,False,5089.24,0.03257457864057178,-0.07070116846193608,-0.12371119819826037,107,0.8916666666666667,0.7218640000000001,8,0.070312,0,0.0,0.367798,0,0.0,120,1.0,85,0.7083333333333334,34,0.2833333333333333,41,0.3416666666666667,62,0.5166666666666667,120,1.0,79,0.6583333333333333,114,0.95,120,1.0,9,0.075,0,0.0,0,0.0
