strategy_id,walk_forward_preset,fold,valid_start,valid_end,step,label,avg_count,median_count,max_count,avg_share,days_nonzero,valid_days
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,complete_required,Required fields complete,119.95850622406638,120.0,120.0,1.0,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mom20_positive,20d momentum positive,57.933609958506224,51.0,120.0,0.48287771540151325,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,mom60_positive,60d momentum positive,68.24896265560166,57.0,119.0,0.5688227158083149,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,close_above_ma60,Close above MA60,63.024896265560166,58.0,119.0,0.5252708137196788,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,amount_ratio_min,Amount ratio >= min,45.07883817427386,38.0,120.0,0.3757583946441647,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,amount_ratio_max,Amount ratio <= max,119.29045643153528,120.0,120.0,0.9944323372502529,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,upper_shadow,Upper shadow <= max,85.04564315352697,85.0,120.0,0.708945860501877,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,vol20_p80,Vol20 <= date p80,113.95850622406638,114.0,114.0,0.949982565640364,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,valid_industry,Industry available,119.95850622406638,120.0,120.0,1.0,241,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,hard_base,All stock hard filters,13.489626556016598,10.0,70.0,0.112423434103932,236,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,strong_index_context,Strong index context,0.0,0.0,0.0,0.0,0,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,2024-04-01,2025-03-31,eligible_for_new_buy,Hard filters and strong context,0.0,0.0,0.0,0.0,0,241
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,complete_required,Required fields complete,119.64876033057851,120.0,120.0,1.0,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mom20_positive,20d momentum positive,61.67768595041322,60.0,115.0,0.5156872848593143,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,mom60_positive,60d momentum positive,68.1900826446281,61.0,112.0,0.5698778614961885,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,close_above_ma60,Close above MA60,63.16942148760331,58.0,114.0,0.5280498920397407,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,amount_ratio_min,Amount ratio >= min,48.264462809917354,40.0,116.0,0.4034990218247265,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,amount_ratio_max,Amount ratio <= max,119.32231404958678,120.0,120.0,0.9972685887634225,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,upper_shadow,Upper shadow <= max,85.09504132231405,85.0,113.0,0.7112142615836081,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,vol20_p80,Vol20 <= date p80,113.64876033057851,114.0,114.0,0.9498518023261973,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,valid_industry,Industry available,119.64876033057851,120.0,120.0,1.0,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,hard_base,All stock hard filters,15.380165289256198,11.0,69.0,0.1285929107600457,242,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,strong_index_context,Strong index context,30.15289256198347,0.0,120.0,0.25206611570247933,61,242
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,eligible_for_new_buy,Hard filters and strong context,4.1570247933884295,0.0,48.0,0.03479129710435792,61,242
