strategy_id,walk_forward_preset,fold,date,benchmark_weight_date,symbol,benchmark_rank,benchmark_weight,failure_reason
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-13,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-14,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-17,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-18,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-19,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-20,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-21,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-24,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-25,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-26,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-27,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-28,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-31,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-01,2021-06-30,SH.600837,46,0.00519,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-01,2021-06-30,SH.601816,49,0.00486,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-02,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-02,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-05,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-05,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-06,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-06,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-07,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-07,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-08,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-08,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-09,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-09,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-12,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-12,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-13,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-13,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-14,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-14,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-15,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-15,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-16,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-16,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-19,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-19,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-20,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-20,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-21,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-21,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-22,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-22,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-23,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-23,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-26,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-26,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-27,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-27,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-28,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-28,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-29,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-29,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-30,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-30,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-02,2021-07-30,SH.600837,50,0.005410000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-02,2021-07-30,SH.601816,59,0.0048,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-03,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-03,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-04,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-04,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-05,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-05,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-06,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-06,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-09,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-09,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-10,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-10,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
