symbol,fold,train_start,train_end,valid_start,valid_end,annualized_return,sharpe,max_drawdown,win_rate,turnover_annual,trades,passed_min_samples,selected_params,candidate,strategy_id,strategy_display_name,strategy_category,panel_scope,supports_brief,supports_paper_trade,quality_explain_rows,quality_selected_rows,financial_pit_announce_coverage,selected_financial_pit_announce_coverage,financial_field_coverage_mean,selected_financial_field_coverage_mean,financial_missing_blocked_ratio,quality_score_mean,selected_quality_score_mean,selected_quality_score_lift,roe_coverage,cash_flow_coverage,profit_growth_coverage,revenue_growth_coverage,low_debt_coverage,selected_quality_roe_component_mean,selected_quality_cash_flow_component_mean,selected_quality_profit_growth_component_mean,selected_quality_revenue_growth_component_mean,selected_quality_low_debt_component_mean,target_days,live_days,avg_target_holdings,avg_live_holdings,trade_days,first_target_date,first_target_symbols,universe_mode,universe_as_of_date,universe_symbol_count,universe_snapshot_count,universe_source,candidate_summary,selected_candidate,selected_candidate_eligible,selected_candidate_governance_reason,is_selected_candidate,candidate_eligible_for_selection,candidate_governance_reason,walk_forward_preset,walk_forward_train_years,walk_forward_validate_years,status,failure_reason
PORTFOLIO,1,2019-08-06,2022-06-21,2022-06-22,2023-07-04,-0.1355715024436961,-1.1018356888219984,-0.21566547272078918,0.43824701195219123,1.093481417730446,7,True,"quality_low_turnover_monthly@q0.6,vol_window=20,vol_q=0.6,turnover_q=0.5,top_n=20,hold_top=40,rebalance=40d,min_hold=20d,max_w=0.1,target_vol=0.18,turnover_penalty=0.02",quality_low_turnover_monthly_v1,quality_low_turnover_monthly_v1,Quality Low Turnover Monthly,factor,portfolio,False,False,30228,4564,1.0,1.0,1.0,1.0,0.0,0.5041683207622072,0.7009691100366527,0.19680078927444555,1.0,1.0,1.0,1.0,1.0,0.7731009505029005,0.5452525028416275,0.7417950999418172,0.7107981382737144,0.7000638905869097,252,251,18.11111111111111,18.155378486055778,7,2022-06-22,"['SZ.000792', 'SZ.002466', 'SZ.002460', 'SZ.002240', 'SH.600141']",point_in_time,2022-06-21,120,4789,local_history_sqlite_as_of,"quality_low_turnover_monthly_v1: score=-0.5197, selection_score=-1000000.0000, eligible=False, ann=-0.0496, sharpe=-0.4112, mdd=-0.1673",quality_low_turnover_monthly_v1,False,portfolio_fold_count<4,True,False,portfolio_fold_count<4,quality_3y_1y,3,1,ok,
PORTFOLIO,2,2020-05-25,2023-07-04,2023-07-05,2024-07-17,-0.051097112463716066,-0.4851427856941147,-0.15417721596237477,0.43601895734597157,2.757182836734276,7,True,"quality_low_turnover_monthly@q0.6,vol_window=20,vol_q=0.6,turnover_q=0.5,top_n=10,hold_top=20,rebalance=40d,min_hold=20d,max_w=0.1,target_vol=0.18,turnover_penalty=0.02",quality_low_turnover_monthly_v1,quality_low_turnover_monthly_v1,Quality Low Turnover Monthly,factor,portfolio,False,False,30235,1800,0.9916652885728461,1.0,0.9916652885728461,1.0,0.008334711427153961,0.5042023813494313,0.7156807177673328,0.21147833641790148,0.9916652885728461,0.9916652885728461,0.9916652885728461,0.9916652885728461,0.9916652885728461,0.8079052524964788,0.5490828308724619,0.7508333926791056,0.7857923056228141,0.6363803430976911,212,211,8.49056603773585,8.483412322274882,7,2023-07-05,"['SZ.002466', 'SZ.300750', 'SH.600089', 'SH.600809', 'SZ.000568']",point_in_time,2023-07-04,120,5165,local_history_sqlite_as_of,"quality_low_turnover_monthly_v1: score=-0.5197, selection_score=-1000000.0000, eligible=False, ann=-0.0496, sharpe=-0.4112, mdd=-0.1673",quality_low_turnover_monthly_v1,False,portfolio_fold_count<4,True,False,portfolio_fold_count<4,quality_3y_1y,3,1,ok,
PORTFOLIO,3,2021-06-07,2024-07-17,2024-07-18,2025-07-31,0.03792320022959972,0.3533748903451484,-0.1321575764179248,0.5258964143426295,1.7100003492401605,7,True,"quality_low_turnover_monthly@q0.6,vol_window=60,vol_q=0.5,turnover_q=0.5,top_n=20,hold_top=40,rebalance=40d,min_hold=20d,max_w=0.1,target_vol=0.18,turnover_penalty=0.02",quality_low_turnover_monthly_v1,quality_low_turnover_monthly_v1,Quality Low Turnover Monthly,factor,portfolio,False,False,30200,2896,0.9919867549668874,1.0,0.9919867549668874,1.0,0.008013245033112583,0.504205888243541,0.64916950933462,0.14496362109107908,0.9919867549668874,0.9919867549668874,0.9919867549668874,0.9919867549668874,0.9919867549668874,0.7058698770037475,0.6130862155874137,0.6832794125835582,0.6093860844560403,0.578183386205969,252,251,11.492063492063492,11.466135458167331,7,2024-07-18,"['SH.600938', 'SH.600519', 'SH.600660', 'SZ.002027', 'SH.600547']",point_in_time,2024-07-17,120,5343,local_history_sqlite_as_of,"quality_low_turnover_monthly_v1: score=-0.5197, selection_score=-1000000.0000, eligible=False, ann=-0.0496, sharpe=-0.4112, mdd=-0.1673",quality_low_turnover_monthly_v1,False,portfolio_fold_count<4,True,False,portfolio_fold_count<4,quality_3y_1y,3,1,ok,
