strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,benchmark_return_bucket,benchmark_trend_bucket,universe_as_of_date,date,symbol,name,industry,target_weight,live_weight,selected,rank,score,low_vol_rank_component,ret,position_ret,held_days
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-01,SH.601628,中国人寿,保险,0.05,0.05,1.0,16.0,0.24583333333333335,0.5,-0.031868131868131644,-0.0015934065934065822,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-01,SH.601688,华泰证券,证券,0.05,0.05,1.0,,0.0,0.0,-0.017472335468841083,-0.0008736167734420541,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-01,SH.603259,XD药明康,化学制药,0.05,0.05,1.0,5.0,0.6458333333333334,0.4444444444444444,0.05143540669856472,0.0025717703349282363,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-01,SH.603288,海天味业,食品,0.05,0.05,1.0,12.0,0.44027777777777777,0.7222222222222222,0.012385254261984668,0.0006192627130992335,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-01,SZ.300347,泰格医药,医疗保健,0.05,0.05,1.0,7.0,0.6236111111111111,0.2222222222222222,0.04382247629051639,0.0021911238145258193,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-01,SZ.300450,先导智能,专用机械,0.05,0.05,1.0,9.0,0.5847222222222221,0.16666666666666663,-0.01565762004175364,-0.000782881002087682,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-01,SZ.300750,宁德时代,电气设备,0.05,0.05,1.0,,0.0,0.0,-0.020179682100898377,-0.0010089841050449188,2
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SH.600570,恒生电子,软件服务,0.05,0.05,1.0,,0.0,0.0,-0.02854030501089322,-0.001427015250544661,3
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SH.601628,中国人寿,保险,0.05,0.05,1.0,,0.0,0.0,0.004824063564131453,0.00024120317820657268,3
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SH.601688,华泰证券,证券,0.05,0.05,1.0,,0.0,0.0,-0.016004742145820927,-0.0008002371072910464,3
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,risk_context_pressure,weak_down,mostly_below_trend,2021-03-31,2021-06-02,SH.603259,XD药明康,化学制药,0.05,0.05,1.0,,0.0,0.0,0.0007394766780433049,3.697383390216524e-05,3
